"core_id","habitat","oP_flux_mg_m2_d","NO3_flux_mg_m2_d","NH3_flux_mg_m2_d"
"1","grasses",-4.92568533333333,-1.16242133333333,8.23364266666667
"2","grasses",-0.579168,-0.914069333333333,-3.63447466666667
"3","grasses",-2.42628266666667,-0.0675199999999996,-3.88429866666667
"4","sav",-10.6045226666667,-2.15393066666667,48.096416
"5","sav",-8.22474666666667,-2.25230933333333,22.9042986666667
"6","sav",-3.76213333333333,-2.07018666666667,-0.330026666666669
"7","hardwoods",-0.078656,0.136096,3.78781866666667
"8","hardwoods",5.10378666666667,0.208384,61.293632
"9","hardwoods",0.667850666666667,-0.103904,2.70888533333333
"10","typha",1.41163733333333,0.110773333333333,33.8419306666667
"11","typha",1.41698133333333,-1.09876266666667,36.8210346666667
"12","typha",1.845312,-1.343648,7.961408
"13","sav",0.027456,2.269088,24.365216
"14","sav",0.842357333333333,1.89687466666667,17.6461653333333
"15","sav",1.062016,1.64196266666667,6.970336
"16","sav",0.102528,4.19448533333333,11.846016
"17","fav",-0.90344,-2.63636266666667,20.7574613333333
"18","fav",-0.222090666666667,-2.86256,11.5744213333333
"19","fav",-0.703258666666667,-1.396032,58.7718506666667
"20","fav",-0.336373333333333,-2.35568,74.79344
"21","fav",-0.148992,1.35669333333333,8.91381333333333
"22","fav",0.446528,2.59993066666667,10.982336
"23","fav",0.213728,2.37554666666667,32.5869333333333
"24","fav",-0.330186666666667,2.425632,-0.446944
"25","hardwoods",4.141216,1.17621333333333,55.8996266666667
"26","hardwoods",11.117568,0.525450666666667,151.757461333333
"27","hardwoods",10.471168,1.498112,54.486944
"28","hardwoods",1.51406933333333,1.37236266666667,66.8267733333333
