"core_id","habitat","N2_flux_mg_m2_d","O2_flux_mg_m2_d"
"1","grasses",-27.3190979520001,-830.232376462933
"2","grasses",33.3605489493333,-349.543729732267
"3","grasses",-3.09727619200007,-9.04377869653332
"4","sav",-12.4135713066666,-691.865902510933
"5","sav",11.8985092053337,-653.023654232533
"6","sav",15.3241585066667,-362.435269866667
"7","hardwoods",34.4977722880001,-503.362597970133
"8","hardwoods",11.6700655360001,-674.958343287467
"9","hardwoods",7.21227575466668,-1056.84455396373
"10","typha",14.0332856639999,-361.448357105067
"11","typha",13.8149740159998,-476.180361044267
"12","typha",58.8157754346665,-823.9192000736
"13","sav",-5.91191528533349,-258.549608026666
"14","sav",7.99244288,-224.022004231467
"15","sav",-8.8014257173334,-290.0446322624
"16","sav",-27.0659295893336,-382.240741719467
"17","fav",-142.057199477333,-153.189783880533
"18","fav",-78.7759104533333,133.1705228608
"19","fav",-92.4391373546668,-327.101511326933
"20","fav",-86.9028912319997,-112.042748714667
"21","fav",-4.20183523199977,-211.313590408533
"22","fav",-23.7723999786666,-226.378350216533
"23","fav",-19.5427978559999,-269.349133008
"24","fav",-5.87609900800008,-307.481411728
"25","hardwoods",-22.8295108053334,-366.826207634133
"26","hardwoods",-22.7402380586668,-254.059730186667
"27","hardwoods",-52.2278696640001,-374.241586624
"28","hardwoods",-10.7122581546668,-316.823751752533
