site,year,habitat,core_id,flow_rate,core_sa_m2,time,in_NO3_ugL,in_orthoP_ugL,in_NH3_ugL,out_NO3_ugL,out_orthoP_ugL,out_NH3_ugL
MAGM,2022,grasses,1,1.27,0.0045,T1,24.58,29.4,41.34,7.08,25.4,31.87
MAGM,2022,grasses,2,1.2,0.0045,T1,24.58,29.4,41.34,14.35,30.06,52.19
MAGM,2022,grasses,3,1.2,0.0045,T1,24.58,29.4,41.34,24.47,28.78,37.94
MAGM,2022,sav,4,1.13,0.0045,T1,48.19,99.5,55.45,40.58,75.82,279.17
MAGM,2022,sav,5,1.27,0.0045,T1,48.19,99.5,55.45,43.12,84,127.12
MAGM,2022,sav,6,1.2,0.0045,T1,48.19,99.5,55.45,39.1,95,66.13
MAGM,2022,hardwoods,7,1.47,0.0045,T1,20.6,16.7,12.1,20.89,16.45,28.02
MAGM,2022,hardwoods,8,1.13,0.0045,T1,20.6,16.7,12.1,22.38,42.25,257.51
MAGM,2022,hardwoods,9,1.23,0.0045,T1,20.6,16.7,12.1,21.33,22.47,34.36
MAGM,2022,typha,10,1,0.0045,T1,22.42,14.45,12.75,32.56,17.35,150.13
MAGM,2022,typha,11,1.03,0.0045,T1,22.42,14.45,12.75,21.43,16.14,133.74
MAGM,2022,typha,12,1,0.0045,T1,22.42,14.45,12.75,22.28,16.08,21.39
MAGM,2022,grasses,1,1.1,0.0045,T2,21.22,36.75,61.87,26.21,27.67,65.98
MAGM,2022,grasses,2,1.33,0.0045,T2,21.22,36.75,61.87,23.13,37.06,47.58
MAGM,2022,grasses,3,1.13,0.0045,T2,21.22,36.75,61.87,22.12,26.77,36.36
MAGM,2022,sav,4,1.13,0.0045,T2,43.87,100.08,81.4,35.48,69.94,190.16
MAGM,2022,sav,5,1.17,0.0045,T2,43.87,100.08,81.4,35.45,74.77,116.01
MAGM,2022,sav,6,1,0.0045,T2,43.87,100.08,81.4,35.47,84.06,61.69
MAGM,2022,hardwoods,7,1.07,0.0045,T2,18.9,21.07,19.23,19.38,19.3,36.95
MAGM,2022,hardwoods,8,1,0.0045,T2,18.9,21.07,19.23,19.02,28.68,195.45
MAGM,2022,hardwoods,9,1,0.0045,T2,18.9,21.07,19.23,20.22,19.43,30.29
MAGM,2022,typha,10,1,0.0045,T2,19.61,14.15,14.04,20.86,22.97,146.27
MAGM,2022,typha,11,1.03,0.0045,T2,19.61,14.15,14.04,20.17,20.86,156.01
MAGM,2022,typha,12,0.83,0.0045,T2,19.61,14.15,14.04,19.94,25.29,29.56
MAGM,2022,grasses,1,1.17,0.0045,T3,21.54,44.02,84.24,26.53,17.43,156.63
MAGM,2022,grasses,2,1.07,0.0045,T3,21.54,44.02,84.24,22.63,37.82,57.99
MAGM,2022,grasses,3,1.1,0.0045,T3,21.54,44.02,84.24,20.16,34.27,81.05
MAGM,2022,sav,4,1.13,0.0045,T3,44.96,104.87,92.16,43.09,70.71,158.71
MAGM,2022,sav,5,1.13,0.0045,T3,44.96,104.87,92.16,40.69,80.26,165.8
MAGM,2022,sav,6,1,0.0045,T3,44.96,104.87,92.16,44.86,91.02,95.96
MAGM,2022,hardwoods,7,1.2,0.0045,T3,21.71,20.11,28.56,21.99,21.38,22.85
MAGM,2022,hardwoods,8,1.27,0.0045,T3,21.71,20.11,28.56,21.57,29.06,123.91
MAGM,2022,hardwoods,9,1.2,0.0045,T3,21.71,20.11,28.56,19.05,20.78,17.69
MAGM,2022,typha,10,1.03,0.0045,T3,29.41,16.99,19.37,19.36,18.46,65.64
MAGM,2022,typha,11,1.06,0.0045,T3,29.41,16.99,19.37,20.11,21.36,89.51
MAGM,2022,typha,12,1.06,0.0045,T3,29.41,16.99,19.37,17.4,23.05,69.48
MAGM,2023,sav,13,1.17,0.0045,T1,11.41,1.945,15.33,24.68,1.945,94.03
MAGM,2023,sav,14,1.25,0.0045,T1,11.41,1.945,15.33,19.59,4.28,66.16
MAGM,2023,sav,15,1.33,0.0045,T1,11.41,1.945,15.33,18.26,4.21,44.01
MAGM,2023,sav,16,1.33,0.0045,T1,11.41,1.945,15.33,38.34,1.945,49.8
MAGM,2023,fav,17,1.25,0.0045,T1,31.13,5.49,18.52,17.46,5.43,95.24
MAGM,2023,fav,18,1.33,0.0045,T1,31.13,5.49,18.52,14.41,6.8,57.32
MAGM,2023,fav,19,1.33,0.0045,T1,31.13,5.49,18.52,18.8,6.44,354.59
MAGM,2023,fav,20,1.25,0.0045,T1,31.13,5.49,18.52,17.3,6.29,410.71
MAGM,2023,fav,21,1.16,0.0045,T1,5.145,8.46,17.14,15.4,10.08,38.05
MAGM,2023,fav,22,1.33,0.0045,T1,5.145,8.46,17.14,22.15,13.51,48.16
MAGM,2023,fav,23,1.23,0.0045,T1,5.145,8.46,17.14,23.86,9.88,104.41
MAGM,2023,fav,24,1.16,0.0045,T1,5.145,8.46,17.14,21.39,9.13,24.31
MAGM,2023,hardwoods,25,0.76,0.0045,T1,5.145,21.63,18.18,17.59,18.88,241.18
MAGM,2023,hardwoods,26,0.66,0.0045,T1,5.145,21.63,18.18,14.16,32.39,1142.53
MAGM,2023,hardwoods,27,0.66,0.0045,T1,5.145,21.63,18.18,14.81,30.14,100.67
MAGM,2023,hardwoods,28,0.66,0.0045,T1,5.145,21.63,18.18,17.35,17.34,298.08
MAGM,2023,sav,13,1.17,0.0045,T2,16.17,3.94,42.88,17.46,4.16,105.6
MAGM,2023,sav,14,1.17,0.0045,T2,16.17,3.94,42.88,23.84,5.49,87.05
MAGM,2023,sav,15,1.17,0.0045,T2,16.17,3.94,42.88,19.96,7.85,60.04
MAGM,2023,sav,16,1.08,0.0045,T2,16.17,3.94,42.88,22.58,4.83,76.34
MAGM,2023,fav,17,1.17,0.0045,T2,18.47,7.04,34.92,15.98,5.19,96.76
MAGM,2023,fav,18,1.25,0.0045,T2,18.47,7.04,34.92,18.6,6.3,64.07
MAGM,2023,fav,19,1.17,0.0045,T2,18.47,7.04,34.92,22.68,5.65,98.26
MAGM,2023,fav,20,1.17,0.0045,T2,18.47,7.04,34.92,18.19,5.66,152.85
MAGM,2023,fav,21,1.25,0.0045,T2,16.28,6.99,29.76,19.55,5.82,55.99
MAGM,2023,fav,22,1.33,0.0045,T2,16.28,6.99,29.76,21.05,7.19,65.28
MAGM,2023,fav,23,1.08,0.0045,T2,16.28,6.99,29.76,20.39,7.61,133.89
MAGM,2023,fav,24,1.17,0.0045,T2,16.28,6.99,29.76,26.32,7.02,27.94
MAGM,2023,hardwoods,25,0.76,0.0045,T2,16.02,28.66,57.69,16.36,43.4,264.58
MAGM,2023,hardwoods,26,0.66,0.0045,T2,16.02,28.66,57.69,16.59,120.32,751.41
MAGM,2023,hardwoods,27,0.66,0.0045,T2,16.02,28.66,57.69,18.47,72.31,226.97
MAGM,2023,hardwoods,28,0.66,0.0045,T2,16.02,28.66,57.69,19.43,39.79,519.14
MAGM,2023,sav,13,1.25,0.0045,T3,20.76,1.945,67.41,24.15,1.945,117.78
MAGM,2023,sav,14,1.17,0.0045,T3,20.76,1.945,67.41,19.55,4.65,110.33
MAGM,2023,sav,15,1.17,0.0045,T3,20.76,1.945,67.41,22.34,3.97,73.5
MAGM,2023,sav,16,1.17,0.0045,T3,20.76,1.945,67.41,17.84,1.945,92.26
MAGM,2023,fav,17,1.17,0.0045,T3,22.87,7.27,44.65,18.84,1.945,67.17
MAGM,2023,fav,18,1.33,0.0045,T3,22.87,7.27,44.65,19.29,5.09,60.04
MAGM,2023,fav,19,1.17,0.0045,T3,22.87,7.27,44.65,21.49,1.945,70.21
MAGM,2023,fav,20,1.17,0.0045,T3,22.87,7.27,44.65,19.05,5.1,107.02
MAGM,2023,fav,21,1.17,0.0045,T3,26.47,10.57,41.36,23.68,9.02,64.03
MAGM,2023,fav,22,1.17,0.0045,T3,26.47,10.57,41.36,22.55,8.18,53.72
MAGM,2023,fav,23,1.25,0.0045,T3,26.47,10.57,41.36,22.32,10.24,109.92
MAGM,2023,fav,24,1.17,0.0045,T3,26.47,10.57,41.36,19.76,7.23,32.49
MAGM,2023,hardwoods,25,0.91,0.0045,T3,18.87,34.1,79.32,20.31,66.75,296.18
MAGM,2023,hardwoods,26,1,0.0045,T3,18.87,34.1,79.32,17.47,70.73,302.12
MAGM,2023,hardwoods,27,1.17,0.0045,T3,18.87,34.1,79.32,24.04,88.58,373.89
MAGM,2023,hardwoods,28,1,0.0045,T3,18.87,34.1,79.32,21.43,43.78,216.53
