"sample_point","mean_oP_flux_mg_m2_d","sd_oP","mean_NO3_flux_mg_m2_d","sd_NO3","mean_NH3_flux_mg_m2_d","sd_NH3"
"1",-0.0913305940635077,3.67919388784084,-0.211919702737188,0.221796489339785,-2.25573884454931,5.30528329022101
"2",NA,NA,0.0394879001360135,0.109010161036407,-0.843274499965823,1.82099650484397
"3",3.87468106857575,NA,-0.387981968157071,0.338331480946047,-2.26425685333929,1.1497494371457
"4",-6.00098580281131,1.40857228662571,0.0316051882171212,0.2532670547679,6.80609108497702,2.22237624540144
"5",0.693127540910906,0.490551058919696,1.07191456797844,NA,-16.0892553163366,1.05758862597745
"6",12.4556336978946,1.00190851876827,-0.830400500603448,0.274049258529224,7.19674550153994,0.962311956727522
"7",2.60514287500527,NA,-0.364756478730047,0.379289578983791,-13.153682986335,11.3289907075492
"8",3.6897355876071,2.11369764984461,-0.524391374491545,0.0412669184369287,-0.420219809636398,0.659313495924697
"9",-0.29738192092247,0.496441718649448,-0.00375590037167757,0.201563308638054,0.264936610017855,1.00250652056099
"13",NA,NA,-0.508980595509611,NA,-1.97025109962913,NA
"14",1.09142990867737,NA,NA,NA,-0.819963451383945,NA
"15",0.592657350235096,NA,0.356797359930251,NA,-2.11077999597989,NA
"16",0.752551450028899,NA,NA,NA,-2.14830817769427,NA
"17",0.911768310441052,NA,NA,NA,-0.349270025643705,NA
"19",-0.520183263270405,NA,-0.499184071282205,NA,-4.6135813133859,NA
"20",0.246382343737588,NA,-0.0166603936058289,NA,-3.81778729752888,NA
"21",1.9960487048365,NA,-0.626237787102207,NA,-0.493879266956673,NA
"22",-1.67321368371186,NA,NA,NA,0.433456286211902,NA
"23",NA,NA,0.160621434511576,NA,-2.60794399296677,NA
"24",NA,NA,-0.0962411329358323,NA,-0.313982289834554,NA
"25",4.77222064637183,NA,NA,NA,-6.5307720760597,NA
"26",0.555310438823535,NA,-0.28687324027542,NA,-2.63717178387065,NA
"27",NA,NA,-0.274358075222466,NA,-3.22097013869384,NA
"28",0.408113076098024,NA,0.221277204838207,NA,-1.1662390253847,NA
