"","SampleIdentity","Comments","NO3.NO2..Results","orthoP..Results","NH3..Results"
"1","grasses_1_20220711_F","",0.001635,0.03957,0.01145
"2","grasses_2_20220711_F","",0.00837,0.0472,0.02274
"3","grasses_3_20220711_F","",0.03264,0.02284,0.02919
"4","open_water_4_20220711_F","",0.03368,0.01067,0.01823
"5","open_water_5_20220711_F","",0.001635,0.0216,0.01701
"6","open_water_6_20220711_F","",0.001635,0.01017,0.01243
"7","hardwoods_7_20220711_F","",0.001635,0.02099,0.01372
"8","hardwoods_8_20220711_F","",0.001635,0.01453,0.01375
"9","hardwoods_9_20220711_F","",0.001635,0.02006,0.01349
"10","typha_10_20220711_F","",0.00345,0.01783,0.01675
"11","typha_11_20220711_F","",0.001635,0.02316,0.01771
"12","typha_12_20220711_F","",0.001635,0.01608,0.01193
"13","W04127","20230731_MAGM_openwater_1",0.00615,0.01053,0.0165
"14","W04128","20230731_MAGM_openwater_2",0.02847,0.003985,0.01306
"15","W04129","20230731_MAGM_openwater_3",0.00615,0.003985,0.01555
"16","W04130","20230731_MAGM_openwater_4_could_have_debri",0.00615,0.003985,0.01416
"17","W04131","20230731_MAGM_sav_5",0.00615,0.003985,0.01707
"18","W04132","20230731_MAGM_sav_6",0.00615,0.00861,0.01703
"19","W04133","20230731_MAGM_sav_7",0.00615,0.003985,0.01523
"20","W04134","20230731_MAGM_sav_8",0.00615,0.003985,0.01846
"21","W04135","20230731_MAGM_sav_9",0.00615,0.01137,0.01829
"22","W04136","20230731_MAGM_sav_10",0.00615,0.01437,0.01946
"23","W04137","20230731_MAGM_sav_11",0.00615,0.02498,0.04091
"24","W04138","20230731_MAGM_sav_12",0.00615,0.02377,0.02072
"25","W04139","20230731_MAGM_hardwoods_13",0.00615,0.16631,0.31082
"26","W04140","20230731_MAGM_hardwoods_14",0.02836,0.04984,0.03389
"27","W04141","20230731_MAGM_hardwoods_15",0.01348,0.12256,0.16109
"28","W04142","20230731_MAGM_hardwoods_16",0.00615,0.07071,0.02719
"29","W04038","20220719_MAGM_open_water_5_rb_F",0.00367,0.01572,0.01722
"30","W04040","20220719_MAGM_hardwoods_7_rb_F",0.00367,0.02182,0.0153
"31","W04034","20220719_MAGM_grasses_1_rb_F",0.00367,0.05356,0.01579
"32","W04042","20220719_MAGM_hardwoods_9_rb_F",0.01003,0.01981,0.02193
"33","W04037","20220719_MAGM_open_water_4_rb_F",0.18545,0.11894,0.35367
"34","W04041","20220719_MAGM_hardwoods_8_rb_F",0.00367,0.0153,0.01808
"35","W04036","20220719_MAGM_grasses_3_rb_F",0.00367,0.03851,0.02445
"36","W04039","20220719_MAGM_open_water_6_rb_F",0.01139,0.03451,0.01839
"37","W04035","20220719_MAGM_grasses_2_rb_F",0.00367,0.03247,0.006035
"38","W04053","20220802_MAGM_open_water_4_rb_F",0.22656,0.05137,0.08133
"39","W04057","20220802_MAGM_hardwoods_8_rb_F",0.00964,0.0133,0.0216
"40","W04054","20220802_MAGM_open_water_5_rb_F",0.01192,0.02731,0.01545
"41","W04055","20220802_MAGM_open_water_6_rb_F",0.01389,0.02212,0.01635
"42","W04058","20220802_MAGM_hardwoods_9_rb_F",0.02388,0.01387,0.02334
"43","W04056","20220802_MAGM_hardwoods_7_rb_F",0.00841,0.02255,0.01379
"44","W04050","20220802_MAGM_grasses_1_rb_F",0.02265,0.02454,0.01505
"45","W04051","20220802_MAGM_grasses_2_rb_F",0.01296,0.0197,0.01793
"46","W04052","20220802_MAGM_grasses_3_rb_F",0.0124,0.02212,0.01898
"47","W04151","20230829_MAGM_openwater_1",0.00615,0.003985,0.01239
"48","W04152","20230829_MAGM_openwater_2",0.00615,0.003985,0.01411
"49","W04153","20230829_MAGM_openwater_3",0.00615,0.003985,0.01072
"50","W04154","20230829_MAGM_openwater_4",0.00615,0.003985,0.01094
"51","W04155","20230829_MAGM_sav_5",0.00615,0.003985,0.01354
"52","W04156","20230829_MAGM_sav_6",0.00615,0.003985,0.01504
"53","W04157","20230829_MAGM_sav_7",0.00615,0.003985,0.01139
"54","W04158","20230829_MAGM_sav_8",0.00615,0.003985,0.01388
"55","W04159","20230829_MAGM_sav_9",0.00615,0.003985,0.00997
"56","W04160","20230829_MAGM_sav_10",0.00615,0.003985,0.0114
"57","W04161","20230829_MAGM_sav_11",0.00615,0.003985,0.0125
"58","W04162","20230829_MAGM_sav_12",0.00615,0.003985,0.0096
"59","W04163","20230829_MAGM_hardwoods_13",0.00615,0.04174,0.04627
"60","W04164","20230829_MAGM_hardwoods_14",0.00615,0.02257,0.03438
"61","W04165","20230829_MAGM_hardwoods_15",0.11494,0.04091,0.20249
"62","W04166","20230829_MAGM_hardwoods_16",0.00615,0.04519,0.02849
"63","W04177","20230908_MAGM_openwater3_rb_F",0.00518,0.00459,0.02045
"64","W04178","20230908_MAGM_sav8_rb_F",0.00231,0.00476,0.01382
"65","W04179","20230908_MAGM_sav12_rb_F",0.00231,0.00639,0.012
"66","W04180","20230908_MAGM_hardwoods14_rb_F",0.00231,0.09318,0.20972
"67","W04181","20230908_MAGM_east1_rb_F",0.05803,0.05054,0.22223
"68","W04182","20230908_MAGM_east5_rb",0.00231,0.01423,0.0217
"69","W04183","20230908_MAGM_west1_rb_F",0.00231,0.01798,0.01553
"70","W04184","20230908_MAGM_west5_rb_F",0.00231,0.00828,0.01877
