site,year,date,method,sample_point,habitat,lat,long,easting,northing,amb_nox_mgL,amb_drp_mgL,amb_nh3_mgL,in_nox_mgL,in_drp_mgL,in_nh3_mgL,flux_drp_mgm2d,flux_nox_mgm2d,flux_nh3_mgm2d,soil_id,water_id,water_depth,phys_wtemp_C,phys_pH,phys_do_mgL,phys_do_pct,phys_spec_cond,phys_turb_fnu,soil_TP_mg_kg,soil_TN_mg_kg,M3_P_mg_kg,M3_Fe_mg_kg,M3_Al_mg_kg,soil_SPSC,M3_Ca_mg_kg,M3_Mg_mg_kg,M3_K_mg_kg,WE_srp_mg_kg,WE_nh3_mg_kg,WE_nox_mg_kg,soil_pH,ECw_uS_cm,bulk_density_g_cm3,N2_flux_mg_m2_d,O2_flux_mg_m2_d,TOC_mg_kg,resin_accum_top_drp_mgm2d,resin_accum_bottom_drp_mgm2d,resin_accum_top_nox_mgm2d,resin_accum_bottom_nox_mgm2d,resin_accum_top_nh3_mgm2d,resin_accum_bottom_nh3_mgm2d
MAGM,2022,20220711,ic,1,grasses,41.60539333,-83.15365167,320536,4608205,0.001635,0.03957,0.01145,0.022446667,0.036723333,0.062483333,-4.925685333,-1.162421333,8.233642667,S02525,W04022,58,25.1,NA,8.35,102.2,338.6,5.55,323.4282042,2098.413306,40.64925485,2538.795566,1017.657661,216.7333899,6415.926248,678.9138705,65.13389373,0.1,12.08570656,17.24474905,6.988,222,0.318795855,-27.31909795,-830.2323765,80074,NA,NA,NA,NA,NA,NA
MAGM,2022,20220711,ic,2,grasses,41.60564667,-83.153615,320540,4608233,0.00837,0.0472,0.02274,0.022446667,0.036723333,0.062483333,-0.579168,-0.914069333,-3.634474667,S02526,W04023,64,23.4,7.46,3.26,38.1,343.5,2.05,405.8746033,2472.393044,27.66091559,2053.291042,596.7407314,154.5180865,6402.63151,664.2004818,73.74632216,0.1,17.8814279,9.567854431,7.172,246,0.563238409,33.36054895,-349.5437297,82604,NA,NA,NA,NA,NA,NA
MAGM,2022,20220711,ic,3,grasses,41.60590667,-83.15346167,320554,4608261,0.03264,0.02284,0.02919,0.022446667,0.036723333,0.062483333,-2.426282667,-0.06752,-3.884298667,S02527,W04024,60,25.9,7.65,9.71,104.6,3.1,2.9,273.6367239,2478.246963,73.27799919,2622.895005,390.4182861,116.7437775,7897.850388,731.1228685,142.4463322,2.014203332,55.8770992,6.104585482,7.172,252,1.158550792,-3.097276192,-9.043778697,125787,NA,NA,NA,NA,NA,NA
MAGM,2022,20220711,ic,4,sav,41.606415,-83.15223667,320657,4608315,0.03368,0.01067,0.01823,0.045673333,0.101483333,0.076336667,-10.60452267,-2.153930667,48.096416,S02528,W04025,72.5,22.8,8.05,8.12,94.4,NA,3.77,220.2502292,2631.347961,33.23551849,2519.566746,1263.248826,251.2801778,8466.648931,830.2495892,255.6045199,0.1,80.57546962,7.793582667,7.264,332,1.555587703,-12.41357131,-691.8659025,101503,NA,NA,NA,NA,NA,NA
MAGM,2022,20220711,ic,5,sav,41.60622333,-83.15063,320791,4608291,0.001635,0.0216,0.01701,0.045673333,0.101483333,0.076336667,-8.224746667,-2.252309333,22.90429867,S02529,W04026,89,22.9,7.73,6.12,82.1,322.3,2.55,275.9565013,2169.338675,30.23085386,2956.612189,536.120783,194.9933579,7410.316376,697.9685666,213.5812715,0.1,49.42901109,0.5,7.356,359,0.874258756,11.89850921,-653.0236542,71094,NA,NA,NA,NA,NA,NA
MAGM,2022,20220711,ic,6,sav,41.60669667,-83.15042333,320809,4608343,0.001635,0.01017,0.01243,0.045673333,0.101483333,0.076336667,-3.762133333,-2.070186667,-0.330026667,S02530,W04027,84,23.76,8.64,11.92,140,286,2.75,395.3112342,2001.233621,19.34298137,2218.990354,317.3178552,139.9267754,7356.411123,624.579863,222.1224987,0.1,50.74335367,3.816065215,7.448,319,0.522902958,15.32415851,-362.4352699,57544,NA,NA,NA,NA,NA,NA
MAGM,2022,20220711,ic,7,hardwoods,41.6073,-83.15146167,320724,4608412,0.001635,0.02099,0.01372,0.020403333,0.019293333,0.019963333,-0.078656,0.136096,3.787818667,S02531,W04028,50,24.5,7.43,6.37,74.5,326.4,1.2,253.7233788,1515.349074,33.98477642,2264.967274,1218.985674,231.3549549,5659.85136,790.8390947,146.0267319,0.1,25.21696267,6.043089391,7.08,312,1.034628622,34.49777229,-503.362598,55601,NA,NA,NA,NA,NA,NA
MAGM,2022,20220711,ic,8,hardwoods,41.60736333,-83.15079,320780,4608417,0.001635,0.01453,0.01375,0.020403333,0.019293333,0.019963333,5.103786667,0.208384,61.293632,S02532,W04029,84,24.6,7.34,7.67,92.3,153.4,2.96,262.4916456,1636.34661,45.63176311,3086.922726,1195.603179,262.5244168,5527.260286,801.8583056,171.3798315,0.1,16.76243971,4.952124463,6.988,172.8,0.622040694,11.67006554,-674.9583433,60553,NA,NA,NA,NA,NA,NA
MAGM,2022,20220711,ic,9,hardwoods,41.60783167,-83.14869333,320956,4608465,0.001635,0.02006,0.01349,0.020403333,0.019293333,0.019963333,0.667850667,-0.103904,2.708885333,S02533,W04030,73,25.2,NA,8.16,98.9,319.6,5.69,244.4545044,1652.770869,39.03516327,3276.884104,457.9014366,194.9376469,7735.171161,672.3361333,153.2087042,0.1,38.45102547,0.5,7.172,403,1.145429621,7.212275755,-1056.844554,60257,NA,NA,NA,NA,NA,NA
MAGM,2022,20220711,ic,10,typha,41.60780833,-83.14759167,321048,4608460,0.00345,0.01783,0.01675,0.023813333,0.015196667,0.015386667,1.411637333,0.110773333,33.84193067,S02534,W04031,87,26,7.25,8.39,96.4,NA,6.32,234.0781252,2814.219519,45.61625415,2408.60152,1394.994901,247.8831256,9400.19253,1033.7838,113.5065335,0.1,91.95350562,0.5,6.988,386,NA,14.03328566,-361.4483571,131970,NA,NA,NA,NA,NA,NA
MAGM,2022,20220711,ic,11,typha,41.60860833,-83.14573,321205,4608545,0.001635,0.02316,0.01771,0.023813333,0.015196667,0.015386667,1.416981333,-1.098762667,36.82103467,S02535,W04032,107,24,6.97,2.15,26.1,309.5,6.42,289.5670551,2127.365001,22.61820334,2228.242512,994.5430958,214.9192171,5872.692465,653.2827868,64.82575346,0.1,27.62404888,0.5,7.08,307,NA,13.81497402,-476.180361,69076,NA,NA,NA,NA,NA,NA
MAGM,2022,20220711,ic,12,typha,41.60995667,-83.144685,321296,4608693,0.001635,0.01608,0.01193,0.023813333,0.015196667,0.015386667,1.845312,-1.343648,7.961408,S02536,W04033,89,25.7,7.09,5.44,67.3,360.7,4.58,226.7964641,957.9224596,44.27887068,1488.268574,1341.299407,192.1084684,4169.221334,782.1111199,117.5283036,0.1,17.25476014,0.5,7.54,188.6,NA,58.81577543,-823.9192001,38089,NA,NA,NA,NA,NA,NA
MAGM,2023,20230731,ic,13,sav,41.608985,-83.14094333,321605,4608577,0.00615,0.01053,0.0165,0.016113333,0.00261,0.041873333,0.027456,2.269088,24.365216,S02652,W04127,110,23,NA,1.76,21.1,259.7,12.75,478.7748345,4578.487905,35.19992213,2114.057823,26.77376889,84.90230411,16706.21304,920.3885888,283.5071853,0.1,96.59385281,57.08611176,7.724,6550,0.284292036,-5.911915285,-258.549608,102447,NA,NA,NA,NA,NA,NA
MAGM,2023,20230731,ic,14,sav,41.60968667,-83.13958,321721,4608652,0.02847,0.003985,0.01306,0.016113333,0.00261,0.041873333,0.842357333,1.896874667,17.64616533,S02653,W04128,100,23,NA,0.34,4.1,274,28.1,518.017887,4694.064772,40.68881822,2395.646546,531.171584,152.9136969,10892.15255,900.2149106,230.7864395,0.1,55.91653242,38.14249039,7.632,5647,0.284778005,7.99244288,-224.0220042,91912,NA,NA,NA,NA,NA,NA
MAGM,2023,20230731,ic,15,sav,41.610255,-83.13949333,321730,4608715,0.00615,0.003985,0.01555,0.016113333,0.00261,0.041873333,1.062016,1.641962667,6.970336,S02654,W04129,91,23.1,NA,1.56,15.1,257.8,14.36,910.1289472,4165.287429,24.5086811,2020.100516,378.6764867,130.7959825,10754.41222,695.2869736,251.4781312,0.1,50.79951944,10.03471447,7.908,4715,0.408214205,-8.801425717,-290.0446323,86108,NA,NA,NA,NA,NA,NA
