"","SampleIdentity","Comments","NO3.NO2..Results.ug.L.","orthoP..Results.ug.L.","NH3..Results.ug.L."
"1","openwater_IN_T1","20230801_MAGM",11.41,1.945,15.33
"2","1_T1","20230801_MAGM",24.68,1.945,94.03
"3","2_T1","20230801_MAGM",19.59,4.28,66.16
"4","3_T1","20230801_MAGM",18.26,4.21,44.01
"5","4_T1","20230801_MAGM",38.34,1.945,49.8
"6","SAVA_IN_T1","20230801_MAGM",31.13,5.49,18.52
"7","5_T1","20230801_MAGM",17.46,5.43,95.24
"8","6_T1","20230801_MAGM",14.41,6.8,57.32
"9","7_T1","20230801_MAGM",18.8,6.44,341.12
"10","8_T1","20230801_MAGM",17.3,6.29,386.54
"11","SAVB_IN_T1","20230801_MAGM",5.145,8.46,17.14
"12","9_T1","20230801_MAGM",15.4,10.08,38.05
"13","10_T1","20230801_MAGM",22.15,13.51,48.16
"14","11_T1","20230801_MAGM",23.86,9.88,104.41
"15","12_T1","20230801_MAGM",21.39,9.13,24.31
"16","hardwoods_IN_T1","20230801_MAGM",5.145,21.63,18.18
"17","13_T1","20230801_MAGM",17.59,18.88,241.18
"18","14_T1","20230801_MAGM",14.16,32.39,940.66
"19","15_T1","20230801_MAGM",14.81,30.14,100.67
"20","16_T1","20230801_MAGM",17.35,17.34,280.21
"21","openwater_IN_T2","20230802_MAGM",16.17,3.94,42.88
"22","1_T2","20230802_MAGM",17.46,4.16,105.6
"23","2_T2","20230802_MAGM",23.84,5.49,87.05
"24","3_T2","20230802_MAGM",19.96,7.85,60.04
"25","4_T2","20230802_MAGM",22.58,4.83,76.34
"26","SAVA_IN_T2","20230802_MAGM",18.47,7.04,34.92
"27","5_T2","20230802_MAGM",15.98,5.19,96.76
"28","6_T2","20230802_MAGM",18.6,6.3,64.07
"29","7_T2","20230802_MAGM",22.68,5.65,98.26
"30","8_T2","20230802_MAGM",18.19,5.66,152.85
"31","SAVB_IN_T2","20230802_MAGM",16.28,6.99,29.76
"32","9_T2","20230802_MAGM",19.55,5.82,55.99
"33","10_T2","20230802_MAGM",21.05,7.19,65.28
"34","11_T2","20230802_MAGM",20.39,7.61,133.89
"35","12_T2","20230802_MAGM",26.32,7.02,27.94
"36","hardwoods_IN_T2","20230802_MAGM",16.02,28.66,57.69
"37","13_T2","20230802_MAGM",16.36,43.4,259.12
"38","14_T2","20230802_MAGM",16.59,120.32,785.3
"39","15_T2","20230802_MAGM",18.47,72.31,226.97
"40","16_T2","20230802_MAGM",19.43,39.79,497.86
"41","openwater_IN_T3","20230803_MAGM",20.76,1.945,67.41
"42","1_T3","20230803_MAGM",24.15,1.945,117.78
"43","2_T3","20230803_MAGM",19.55,4.65,110.33
"44","3_T3","20230803_MAGM",22.34,3.97,73.5
"45","4_T3","20230803_MAGM",17.84,1.945,92.26
"46","SAVA_IN_T3","20230803_MAGM",22.87,7.27,44.65
"47","5_T3","20230803_MAGM",18.84,1.945,67.17
"48","6_T3","20230803_MAGM",19.29,5.09,60.04
"49","7_T3","20230803_MAGM",21.49,1.945,70.21
"50","8_T3","20230803_MAGM",19.05,5.1,107.02
"51","SAVB_IN_T3","20230803_MAGM",26.47,10.57,41.36
"52","9_T3","20230803_MAGM",23.68,9.02,64.03
"53","10_T3","20230803_MAGM",22.55,8.18,53.72
"54","11_T3","20230803_MAGM",22.32,10.24,109.92
"55","12_T3","20230803_MAGM",19.76,7.23,32.49
"56","hardwoods_IN_T3","20230803_MAGM",18.87,34.1,79.32
"57","13_T3","20230803_MAGM",20.31,66.75,242.89
"58","14_T3","20230803_MAGM",17.47,70.73,244.42
"59","15_T3","20230803_MAGM",24.04,88.58,321.83
"60","16_T3","20230803_MAGM",21.43,43.78,216.53
