method,sample_point,habitat,nutrient,flux_direction,flux_rate_mgm2d
rb,1,grasses,drp,net,-0.091330594
rb,1,grasses,nox,net,-0.211919703
rb,1,grasses,nh3,net,-2.255738845
rb,1,grasses,drp,top,-5.07
rb,1,grasses,nox,top,-0.39
rb,1,grasses,nh3,top,-6.02
rb,1,grasses,drp,bottom,4.98
rb,1,grasses,nox,bottom,0.18
rb,1,grasses,nh3,bottom,3.76
rb,2,grasses,drp,net,NA
rb,2,grasses,nox,net,0.0394879
rb,2,grasses,nh3,net,-0.8432745
rb,2,grasses,drp,top,NA
rb,2,grasses,nox,top,-0.49
rb,2,grasses,nh3,top,-32.08
rb,2,grasses,drp,bottom,NA
rb,2,grasses,nox,bottom,0.53
rb,2,grasses,nh3,bottom,31.24
rb,3,grasses,drp,net,3.874681069
rb,3,grasses,nox,net,-0.387981968
rb,3,grasses,nh3,net,-2.264256853
rb,3,grasses,drp,top,-0.75
rb,3,grasses,nox,top,-0.64
rb,3,grasses,nh3,top,-3.98
rb,3,grasses,drp,bottom,1.95
rb,3,grasses,nox,bottom,0.26
rb,3,grasses,nh3,bottom,1.72
rb,4,sav,drp,net,-6.000985803
rb,4,sav,nox,net,0.031605188
rb,4,sav,nh3,net,6.806091085
rb,4,sav,drp,top,-9.48
rb,4,sav,nox,top,-0.81
rb,4,sav,nh3,top,-13.54
rb,4,sav,drp,bottom,3.48
rb,4,sav,nox,bottom,0.84
rb,4,sav,nh3,bottom,20.35
rb,5,sav,drp,net,0.693127541
rb,5,sav,nox,net,1.071914568
rb,5,sav,nh3,net,-16.08925532
rb,5,sav,drp,top,-1.17
rb,5,sav,nox,top,-0.74
rb,5,sav,nh3,top,-19.38
rb,5,sav,drp,bottom,1.87
rb,5,sav,nox,bottom,1.26
rb,5,sav,nh3,bottom,3.29
rb,6,sav,drp,net,12.4556337
rb,6,sav,nox,net,-0.830400501
rb,6,sav,nh3,net,7.196745502
rb,6,sav,drp,top,-6
rb,6,sav,nox,top,-0.87
rb,6,sav,nh3,top,-3.51
rb,6,sav,drp,bottom,18.46
rb,6,sav,nox,bottom,0.04
rb,6,sav,nh3,bottom,10.7
rb,7,hardwoods,drp,net,2.605142875
rb,7,hardwoods,nox,net,-0.364756479
rb,7,hardwoods,nh3,net,-13.15368299
rb,7,hardwoods,drp,top,-2.07
rb,7,hardwoods,nox,top,-0.6
rb,7,hardwoods,nh3,top,-15.68
rb,7,hardwoods,drp,bottom,3.54
rb,7,hardwoods,nox,bottom,0.24
rb,7,hardwoods,nh3,bottom,2.53
rb,8,hardwoods,drp,net,3.689735588
rb,8,hardwoods,nox,net,-0.524391374
rb,8,hardwoods,nh3,net,-0.42021981
rb,8,hardwoods,drp,top,-1.17
rb,8,hardwoods,nox,top,-0.63
rb,8,hardwoods,nh3,top,-2.78
rb,8,hardwoods,drp,bottom,4.86
rb,8,hardwoods,nox,bottom,0.1
rb,8,hardwoods,nh3,bottom,2.36
rb,9,hardwoods,drp,net,-0.297381921
rb,9,hardwoods,nox,net,-0.0037559
rb,9,hardwoods,nh3,net,0.26493661
rb,9,hardwoods,drp,top,-0.59
rb,9,hardwoods,nox,top,-0.48
rb,9,hardwoods,nh3,top,-3.14
rb,9,hardwoods,drp,bottom,0.29
rb,9,hardwoods,nox,bottom,0.47
rb,9,hardwoods,nh3,bottom,3.4
rb,10,typha,drp,net,NA
rb,10,typha,nox,net,NA
rb,10,typha,nh3,net,NA
rb,10,typha,drp,top,NA
rb,10,typha,nox,top,NA
rb,10,typha,nh3,top,NA
rb,10,typha,drp,bottom,NA
rb,10,typha,nox,bottom,NA
rb,10,typha,nh3,bottom,NA
rb,11,typha,drp,net,NA
rb,11,typha,nox,net,NA
rb,11,typha,nh3,net,NA
rb,11,typha,drp,top,NA
rb,11,typha,nox,top,NA
rb,11,typha,nh3,top,NA
rb,11,typha,drp,bottom,NA
rb,11,typha,nox,bottom,NA
rb,11,typha,nh3,bottom,NA
rb,12,typha,drp,net,NA
rb,12,typha,nox,net,NA
rb,12,typha,nh3,net,NA
rb,12,typha,drp,top,NA
rb,12,typha,nox,top,NA
rb,12,typha,nh3,top,NA
rb,12,typha,drp,bottom,NA
rb,12,typha,nox,bottom,NA
rb,12,typha,nh3,bottom,NA
rb,13,sav,drp,net,NA
rb,13,sav,nox,net,-0.508980596
rb,13,sav,nh3,net,-1.9702511
rb,13,sav,drp,top,NA
rb,13,sav,nox,top,-1.75
rb,13,sav,nh3,top,-7.03
rb,13,sav,drp,bottom,NA
rb,13,sav,nox,bottom,1.24
rb,13,sav,nh3,bottom,5.06
rb,14,sav,drp,net,1.091429909
rb,14,sav,nox,net,NA
rb,14,sav,nh3,net,-0.819963451
rb,14,sav,drp,top,-1.67
rb,14,sav,nox,top,NA
rb,14,sav,nh3,top,-4.06
rb,14,sav,drp,bottom,2.76
rb,14,sav,nox,bottom,NA
rb,14,sav,nh3,bottom,3.24
rb,15,sav,drp,net,0.59265735
rb,15,sav,nox,net,0.35679736
rb,15,sav,nh3,net,-2.110779996
rb,15,sav,drp,top,-0.63
rb,15,sav,nox,top,-0.69
rb,15,sav,nh3,top,-4.63
rb,15,sav,drp,bottom,1.23
rb,15,sav,nox,bottom,1.05
rb,15,sav,nh3,bottom,2.52
rb,16,sav,drp,net,0.75255145
rb,16,sav,nox,net,NA
rb,16,sav,nh3,net,-2.148308178
rb,16,sav,drp,top,-1.32
rb,16,sav,nox,top,NA
rb,16,sav,nh3,top,-5.81
rb,16,sav,drp,bottom,2.07
rb,16,sav,nox,bottom,NA
rb,16,sav,nh3,bottom,3.67
rb,17,fav,drp,net,0.91176831
rb,17,fav,nox,net,NA
rb,17,fav,nh3,net,-0.349270026
rb,17,fav,drp,top,-0.51
rb,17,fav,nox,top,NA
rb,17,fav,nh3,top,-1.04
rb,17,fav,drp,bottom,1.42
rb,17,fav,nox,bottom,NA
rb,17,fav,nh3,bottom,0.69
rb,18,fav,drp,net,NA
rb,18,fav,nox,net,NA
rb,18,fav,nh3,net,NA
rb,18,fav,drp,top,NA
rb,18,fav,nox,top,NA
rb,18,fav,nh3,top,NA
rb,18,fav,drp,bottom,NA
rb,18,fav,nox,bottom,NA
rb,18,fav,nh3,bottom,NA
