method,sample_point,habitat,nutrient,flux_direction,flux_rate_mgm2d
rb,1,grasses,drp,net,-2.94906488
rb,1,grasses,nox,net,-15.13742439
rb,1,grasses,nh3,net,-161.1274257
rb,1,grasses,drp,top,-163.7103
rb,1,grasses,nox,top,-27.8577
rb,1,grasses,nh3,top,-430.0086
rb,1,grasses,drp,bottom,160.8042
rb,1,grasses,nox,bottom,12.8574
rb,1,grasses,nh3,bottom,268.5768
rb,2,grasses,drp,net,NA
rb,2,grasses,nox,net,2.820620697
rb,2,grasses,nh3,net,-60.23509754
rb,2,grasses,drp,top,NA
rb,2,grasses,nox,top,-35.0007
rb,2,grasses,nh3,top,-2291.4744
rb,2,grasses,drp,bottom,NA
rb,2,grasses,nox,bottom,37.8579
rb,2,grasses,nh3,bottom,2231.4732
rb,3,grasses,drp,net,125.1134517
rb,3,grasses,nox,net,-27.71355197
rb,3,grasses,nh3,net,-161.735867
rb,3,grasses,drp,top,-24.2175
rb,3,grasses,nox,top,-45.7152
rb,3,grasses,nh3,top,-284.2914
rb,3,grasses,drp,bottom,62.9655
rb,3,grasses,nox,bottom,18.5718
rb,3,grasses,nh3,bottom,122.8596
rb,4,sav,drp,net,-193.7718316
rb,4,sav,nox,net,2.257558579
rb,4,sav,nh3,net,486.1590862
rb,4,sav,drp,top,-306.1092
rb,4,sav,nox,top,-57.8583
rb,4,sav,nh3,top,-967.1622
rb,4,sav,drp,bottom,112.3692
rb,4,sav,nox,bottom,60.0012
rb,4,sav,nh3,bottom,1453.6005
rb,5,sav,drp,net,22.3810883
rb,5,sav,nox,net,76.56685759
rb,5,sav,nh3,net,-1149.255508
rb,5,sav,drp,top,-37.7793
rb,5,sav,nox,top,-52.8582
rb,5,sav,nh3,top,-1384.3134
rb,5,sav,drp,bottom,60.3823
rb,5,sav,nox,bottom,90.0018
rb,5,sav,nh3,bottom,235.0047
rb,6,sav,drp,net,402.1924122
rb,6,sav,nox,net,-59.31550779
rb,6,sav,nh3,net,514.0635312
rb,6,sav,drp,top,-193.74
rb,6,sav,nox,top,-62.1441
rb,6,sav,nh3,top,-250.7193
rb,6,sav,drp,bottom,596.0734
rb,6,sav,nox,bottom,2.8572
rb,6,sav,nh3,bottom,764.301
rb,7,hardwoods,drp,net,84.12006343
rb,7,hardwoods,nox,net,-26.05455529
rb,7,hardwoods,nh3,net,-939.567576
rb,7,hardwoods,drp,top,-66.8403
rb,7,hardwoods,nox,top,-42.858
rb,7,hardwoods,nh3,top,-1120.0224
rb,7,hardwoods,drp,bottom,114.3066
rb,7,hardwoods,nox,bottom,17.1432
rb,7,hardwoods,nh3,bottom,180.7179
rb,8,hardwoods,drp,net,119.1415621
rb,8,hardwoods,nox,net,-37.45727584
rb,8,hardwoods,nh3,net,-30.01630103
