site,date_deployed,date_collected,days_deployed,date_extracted,date_analyzed,sample_point,core_id,bag_id,core_sa_m2,resin_added,perc_dw_org,total_resin_ww,boat_weight,ww_subsample,dw_plus_boat,extraction_subsample_ww,percent_moisture,percent_dw,total_extractant_added_L
MAGM,20230829,20230908,10,20230909,20230913,1,A,1,0.00456,30.01,0.45,31.43,2.22,1.99,2.94,1.97,0.638190955,0.361809045,0.041257236
MAGM,20230829,20230908,10,20230909,20230913,1,A,2,0.00456,20.02,0.45,19.33,2.19,1.99,2.89,1.95,0.648241206,0.351758794,0.04126407
MAGM,20230829,20230908,10,20230909,20230913,1,A,3,0.00456,30,0.45,30.35,2.2,2.03,2.93,2.04,0.640394089,0.359605911,0.041306404
MAGM,20230829,20230908,10,20230909,20230913,2,A,1,0.00456,30.02,0.45,30.29,2.17,1.95,2.88,1.98,0.635897436,0.364102564,0.041259077
MAGM,20230829,20230908,10,20230909,20230913,2,A,2,0.00456,20,0.45,19.93,2.22,2,2.91,2.01,0.655,0.345,0.04131655
MAGM,20230829,20230908,10,20230909,20230913,2,A,3,0.00456,30,0.45,30.6,2.24,2,2.92,1.99,0.66,0.34,0.0413134
MAGM,20230829,20230908,10,20230909,20230913,3,A,1,0.00456,30.01,0.45,31.86,2.17,2,2.82,2,0.675,0.325,0.04135
MAGM,20230829,20230908,10,20230909,20230913,3,A,2,0.00456,20.01,0.45,18.62,2.23,1.96,2.96,2.03,0.62755102,0.37244898,0.041273929
MAGM,20230829,20230908,10,20230909,20230913,3,A,3,0.00456,30.01,0.45,28.61,2.21,1.95,2.94,1.96,0.625641026,0.374358974,0.041226256
MAGM,20230829,20230908,10,20230909,20230913,4,A,1,0.00456,30,0.45,29.69,2.19,1.98,2.89,2.01,0.646464646,0.353535354,0.041299394
MAGM,20230829,20230908,10,20230909,20230913,4,A,2,0.00456,20,0.45,17.24,2.22,1.98,2.92,1.96,0.646464646,0.353535354,0.041267071
MAGM,20230829,20230908,10,20230909,20230913,4,A,3,0.00456,30,0.45,28.43,2.15,2.01,2.91,1.97,0.621890547,0.378109453,0.041225124
MAGM,20230829,20230908,10,20230909,20230913,5,A,1,0.00456,30,0.45,30.26,2.22,2.01,2.91,2.02,0.656716418,0.343283582,0.041326567
MAGM,20230829,20230908,10,20230909,20230913,5,A,2,0.00456,20,0.45,18.92,2.2,2.02,2.87,2.04,0.668316832,0.331683168,0.041363366
MAGM,20230829,20230908,10,20230909,20230913,5,A,3,0.00456,30,0.45,27.21,2.14,1.99,2.97,1.97,0.582914573,0.417085427,0.041148342
MAGM,20230829,20230908,10,20230909,20230913,7,A,1,0.00456,30.01,0.45,29.89,2.26,2.05,2.96,1.98,0.658536585,0.341463415,0.041303902
MAGM,20230829,20230908,10,20230909,20230913,7,A,2,0.00456,20.02,0.45,18.8,2.25,2.02,2.98,2.01,0.638613861,0.361386139,0.041283614
MAGM,20230829,20230908,10,20230909,20230913,7,A,3,0.00456,30,0.45,28.47,2.23,2.05,3.02,1.97,0.614634146,0.385365854,0.041210829
MAGM,20230829,20230908,10,20230909,20230913,8,A,1,0.00456,30,0.45,32.7,2.22,2.05,2.88,2.02,0.67804878,0.32195122,0.041369659
MAGM,20230829,20230908,10,20230909,20230913,8,A,2,0.00456,20,0.45,19.59,2.2,2.04,2.93,2,0.642156863,0.357843137,0.041284314
MAGM,20230829,20230908,10,20230909,20230914,8,A,3,0.00456,30.02,0.45,28.57,2.21,2.01,2.95,2,0.631840796,0.368159204,0.041263682
MAGM,20230829,20230908,10,20230909,20230914,9,A,1,0.00456,30,0.45,32.54,2.14,2.07,2.85,1.99,0.657004831,0.342995169,0.04130744
MAGM,20230829,20230908,10,20230909,20230914,9,A,2,0.00456,20,0.45,21.19,2.21,1.98,2.87,2.02,0.666666667,0.333333333,0.041346667
MAGM,20230829,20230908,10,20230909,20230914,9,A,3,0.00456,30,0.45,32.4,2.19,2.04,2.88,2.01,0.661764706,0.338235294,0.041330147
MAGM,20230829,20230908,10,20230911,20230914,10,A,1,0.00456,30.01,0.45,30.75,2.25,2.03,2.94,1.98,0.660098522,0.339901478,0.041306995
MAGM,20230829,20230908,10,20230911,20230914,10,A,2,0.00456,20.01,0.45,17.09,2.23,1.99,2.95,2.03,0.638190955,0.361809045,0.041295528
MAGM,20230829,20230908,10,20230911,20230914,10,A,3,0.00456,30.02,0.45,32.06,2.19,2.04,2.93,2.04,0.637254902,0.362745098,0.0413
MAGM,20230829,20230908,10,20230911,20230914,11,A,1,0.00456,30,0.45,32.51,2.17,2.01,2.97,1.98,0.60199005,0.39800995,0.04119194
MAGM,20230829,20230908,10,20230911,20230914,11,A,2,0.00456,20,0.45,21.75,2.26,2.06,3.03,2.04,0.626213592,0.373786408,0.041277476
MAGM,20230829,20230908,10,20230911,20230914,11,A,3,0.00456,20.02,0.45,26.92,2.17,2.06,3.02,2.06,0.587378641,0.412621359,0.04121
MAGM,20230829,20230908,10,20230911,20230914,12,A,1,0.00456,30,0.45,28.49,2.18,2.02,2.91,2.03,0.638613861,0.361386139,0.041296386
MAGM,20230829,20230908,10,20230911,20230914,12,A,2,0.00456,20,0.45,19.5,2.13,2.01,2.83,2.04,0.651741294,0.348258706,0.041329552
MAGM,20230829,20230908,10,20230911,20230914,12,A,3,0.00456,30.02,0.45,26.73,2.26,2,3.06,2.05,0.6,0.4,0.04123
MAGM,20230829,20230908,10,20230911,20230914,13,A,1,0.00456,30.01,0.45,28.43,2.19,2.02,3.01,2.03,0.594059406,0.405940594,0.041205941
MAGM,20230829,20230908,10,20230911,20230914,13,A,2,0.00456,20.03,0.45,17.09,2.19,2.05,3.04,2.03,0.585365854,0.414634146,0.041188293
MAGM,20230829,20230908,10,20230911,20230914,13,A,3,0.00456,30.01,0.45,27.72,2.21,2.01,3.06,2.02,0.577114428,0.422885572,0.041165771
MAGM,20230829,20230908,10,20230911,20230914,14,A,1,0.00456,30.01,0.45,30.03,2.18,2.01,2.99,2.06,0.597014925,0.402985075,0.041229851
MAGM,20230829,20230908,10,20230911,20230914,14,A,2,0.00456,20,0.45,18.46,2.21,2.04,2.99,1.98,0.617647059,0.382352941,0.041222941
MAGM,20230829,20230908,10,20230911,20230914,14,A,3,0.00456,30,0.45,31.01,2.25,2.03,3.1,2.02,0.581280788,0.418719212,0.041174187
MAGM,20230829,20230908,10,20230911,20230914,15,A,1,0.00456,30.05,0.45,30.27,2.29,2.03,3.17,2.01,0.566502463,0.433497537,0.04113867
MAGM,20230829,20230908,10,20230911,20230914,15,A,2,0.00456,20,0.45,16.78,2.25,2.05,3.07,2.02,0.6,0.4,0.041212
MAGM,20230829,20230908,10,20230911,20230914,15,A,3,0.00456,30.01,0.45,28.05,2.27,1.99,3.12,2.01,0.572864322,0.427135678,0.041151457
MAGM,20230829,20230908,10,20230911,20230914,16,A,1,0.00456,30.01,0.45,31.28,2.25,2.04,3.04,2.04,0.612745098,0.387254902,0.04125
MAGM,20230829,20230908,10,20230911,20230914,16,A,2,0.00456,20.01,0.45,17.65,2.27,2.01,3.09,2,0.592039801,0.407960199,0.04118408
MAGM,20230829,20230908,10,20230911,20230914,16,A,3,0.00456,30,0.45,28.82,2.31,2.04,3.12,2.01,0.602941176,0.397058824,0.041211912
