site,year,habitat,core_id,flow_rate,core_sa_m2,time,in_N2_mgL,in_O2_mgL,out_N2_mgL,out_O2_mgL
MAGM,2022,grasses,1,1.27,0.0045,T1,14.05352895,7.088337785,14.07133457,5.366994684
MAGM,2022,grasses,2,1.2,0.0045,T1,14.05352895,7.088337785,14.02762664,6.765881443
MAGM,2022,grasses,3,1.2,0.0045,T1,14.05352895,7.088337785,14.02116405,7.322309164
MAGM,2022,sav,4,1.13,0.0045,T1,14.05379891,7.077014711,14.04914007,5.983018138
MAGM,2022,sav,5,1.27,0.0045,T1,14.05379891,7.077014711,14.06458811,6.063583544
MAGM,2022,sav,6,1.2,0.0045,T1,14.05379891,7.077014711,14.05823869,6.134229241
MAGM,2022,hardwoods,7,1.47,0.0045,T1,14.05902713,7.921449804,14.22032056,7.028097745
MAGM,2022,hardwoods,8,1.13,0.0045,T1,14.05902713,7.921449804,14.02063508,6.475592511
MAGM,2022,hardwoods,9,1.23,0.0045,T1,14.05902713,7.921449804,13.98845757,6.354203037
MAGM,2022,typha,10,1,0.0045,T1,14.02161545,6.732220663,14.16751544,5.593898456
MAGM,2022,typha,11,1.03,0.0045,T1,14.02161545,6.732220663,14.13349584,5.40846947
MAGM,2022,typha,12,1,0.0045,T1,14.02161545,6.732220663,14.06857133,3.717531058
MAGM,2022,grasses,1,1.1,0.0045,T2,13.86761159,7.234633569,13.73937769,4.420405401
MAGM,2022,grasses,2,1.33,0.0045,T2,13.86761159,7.234633569,13.85891014,5.947866684
MAGM,2022,grasses,3,1.13,0.0045,T2,13.86761159,7.234633569,14.01980478,6.594653213
MAGM,2022,sav,4,1.13,0.0045,T2,14.00152906,7.277331859,13.94861194,5.18599805
MAGM,2022,sav,5,1.17,0.0045,T2,14.00152906,7.277331859,14.00650707,5.564497485
MAGM,2022,sav,6,1,0.0045,T2,14.00152906,7.277331859,14.11597724,5.830976842
MAGM,2022,hardwoods,7,1.07,0.0045,T2,13.93039606,8.167895106,13.90544479,6.700211414
MAGM,2022,hardwoods,8,1,0.0045,T2,13.93039606,8.167895106,13.91354484,5.702259338
MAGM,2022,hardwoods,9,1,0.0045,T2,13.93039606,8.167895106,13.95338012,4.18601815
MAGM,2022,typha,10,1,0.0045,T2,13.97093753,7.207790941,13.9870765,5.803618167
MAGM,2022,typha,11,1.03,0.0045,T2,13.97093753,7.207790941,13.976021,4.898494131
MAGM,2022,typha,12,0.83,0.0045,T2,13.97093753,7.207790941,14.04880848,4.415134168
MAGM,2022,grasses,1,1.17,0.0045,T3,14.03688878,5.446199814,13.91922007,3.308018783
MAGM,2022,grasses,2,1.07,0.0045,T3,14.03688878,5.446199814,14.36904845,4.344681217
MAGM,2022,grasses,3,1.1,0.0045,T3,14.03688878,5.446199814,13.88945479,5.771315016
MAGM,2022,sav,4,1.13,0.0045,T3,13.88805955,6.653396035,13.84264681,4.098688509
MAGM,2022,sav,5,1.13,0.0045,T3,13.88805955,6.653396035,13.96949492,4.148065983
MAGM,2022,sav,6,1,0.0045,T3,13.88805955,6.653396035,13.91194762,5.833262961
MAGM,2022,hardwoods,7,1.2,0.0045,T3,13.93205469,7.559995392,14.0262323,6.030515993
MAGM,2022,hardwoods,8,1.27,0.0045,T3,13.93205469,7.559995392,14.06563036,5.805444243
MAGM,2022,hardwoods,9,1.2,0.0045,T3,13.93205469,7.559995392,14.04158101,4.228056047
MAGM,2022,typha,10,1.03,0.0045,T3,14.14812386,6.410001298,14.11853463,5.588561136
MAGM,2022,typha,11,1.06,0.0045,T3,14.14812386,6.410001298,14.15665462,5.728726353
MAGM,2022,typha,12,1.06,0.0045,T3,14.14812386,6.410001298,14.56303813,4.153729813
MAGM,2023,sav,13,1.17,0.0045,T1,15.14138849,8.402852689,15.14788431,7.708131487
MAGM,2023,sav,14,1.25,0.0045,T1,15.14138849,8.402852689,15.17351567,7.718799731
MAGM,2023,sav,15,1.33,0.0045,T1,15.14138849,8.402852689,15.08102121,7.805912773
MAGM,2023,sav,16,1.33,0.0045,T1,15.14138849,8.402852689,15.06460596,6.773139561
MAGM,2023,fav,17,1.25,0.0045,T1,15.67854036,6.605880748,14.97937217,7.003650348
MAGM,2023,fav,18,1.33,0.0045,T1,15.67854036,6.605880748,15.07780325,7.865985653
MAGM,2023,fav,19,1.33,0.0045,T1,15.67854036,6.605880748,15.01301492,6.463311314
MAGM,2023,fav,20,1.25,0.0045,T1,15.67854036,6.605880748,15.0305619,6.791237132
MAGM,2023,fav,21,1.16,0.0045,T1,15.07756994,7.321277466,15.10402666,7.054915703
MAGM,2023,fav,22,1.33,0.0045,T1,15.07756994,7.321277466,15.1367886,7.330338097
MAGM,2023,fav,23,1.23,0.0045,T1,15.07756994,7.321277466,15.15278953,7.145052434
MAGM,2023,fav,24,1.16,0.0045,T1,15.07756994,7.321277466,15.13540967,6.644421375
MAGM,2023,hardwoods,25,0.76,0.0045,T1,15.12307097,6.902507962,15.11459517,5.748116145
MAGM,2023,hardwoods,26,0.66,0.0045,T1,15.12307097,6.902507962,15.11088265,6.749254601
MAGM,2023,hardwoods,27,0.66,0.0045,T1,15.12307097,6.902507962,15.08556097,6.2421015
MAGM,2023,hardwoods,28,0.66,0.0045,T1,15.12307097,6.902507962,15.14703557,6.243237449
MAGM,2023,sav,13,1.17,0.0045,T2,15.10839908,8.112172003,15.15172177,7.757819005
MAGM,2023,sav,14,1.17,0.0045,T2,15.10839908,8.112172003,15.1545983,7.696675505
MAGM,2023,sav,15,1.17,0.0045,T2,15.10839908,8.112172003,15.13176177,7.061246237
MAGM,2023,sav,16,1.08,0.0045,T2,15.10839908,8.112172003,15.02333554,7.640499718
MAGM,2023,fav,17,1.17,0.0045,T2,15.10787919,7.676655518,14.93855282,7.279824768
MAGM,2023,fav,18,1.25,0.0045,T2,15.10787919,7.676655518,15.15939597,7.652185316
MAGM,2023,fav,19,1.17,0.0045,T2,15.10787919,7.676655518,15.13125208,6.756775703
MAGM,2023,fav,20,1.17,0.0045,T2,15.10787919,7.676655518,15.10562615,6.941994249
MAGM,2023,fav,21,1.25,0.0045,T2,15.13202973,7.674504886,15.10789708,7.046088802
MAGM,2023,fav,22,1.33,0.0045,T2,15.13202973,7.674504886,15.11656063,7.14013309
MAGM,2023,fav,23,1.08,0.0045,T2,15.13202973,7.674504886,15.06754466,6.865466313
MAGM,2023,fav,24,1.17,0.0045,T2,15.13202973,7.674504886,15.10096293,7.066500976
MAGM,2023,hardwoods,25,0.76,0.0045,T2,15.11428659,7.932244265,15.01159076,6.2942883
MAGM,2023,hardwoods,26,0.66,0.0045,T2,15.11428659,7.932244265,15.01912868,6.317810001
MAGM,2023,hardwoods,27,0.66,0.0045,T2,15.11428659,7.932244265,14.97967726,7.030175053
MAGM,2023,hardwoods,28,0.66,0.0045,T2,15.11428659,7.932244265,15.13378902,6.40220998
MAGM,2023,sav,13,1.25,0.0045,T3,15.12185333,8.272407432,15.03088384,7.315218823
MAGM,2023,sav,14,1.17,0.0045,T3,15.12185333,8.272407432,15.10537221,7.623681629
MAGM,2023,sav,15,1.17,0.0045,T3,15.12185333,8.272407432,15.09658903,7.677830344
MAGM,2023,sav,16,1.17,0.0045,T3,15.12185333,8.272407432,15.07078179,7.497550658
MAGM,2023,fav,17,1.17,0.0045,T3,15.12020613,7.802039244,14.89822822,6.54642023
MAGM,2023,fav,18,1.33,0.0045,T3,15.12020613,7.802039244,15.11724389,7.503634643
MAGM,2023,fav,19,1.17,0.0045,T3,15.12020613,7.802039244,15.11267249,6.262979468
