Type,Group,CollectionTemp,RunDate,Label,Index,Time,28,32,40,N2/Ar,O2/Ar,Notes
Standard,1,20,10/27/2022,NA,4384,12:33:42 PM,2.82E-10,1.36E-10,1.20E-11,23.41467,11.30003,pressure_1.013atm
Standard,1,20,10/27/2022,NA,4391,12:33:52 PM,2.82E-10,1.36E-10,1.20E-11,23.39771,11.2973,
Standard,1,20,10/27/2022,NA,4395,12:33:59 PM,2.82E-10,1.36E-10,1.20E-11,23.40542,11.30366,
Standard,1,30,10/27/2022,NA,4628,12:39:58 PM,2.50E-10,1.15E-10,1.01E-11,24.64651,11.39266,
Standard,1,30,10/27/2022,NA,4633,12:40:06 PM,2.50E-10,1.16E-10,1.01E-11,24.65817,11.39259,
Standard,1,30,10/27/2022,NA,4635,12:40:09 PM,2.50E-10,1.15E-10,1.01E-11,24.65812,11.38946,
Sample,1,24,10/27/2022,grassesIN_T0_1,4942,12:48:02 PM,2.53E-10,9.67E-11,1.06E-11,23.91553,9.136763,
Sample,1,24,10/27/2022,grassesIN_T0_2,4946,12:48:08 PM,2.53E-10,9.67E-11,1.06E-11,23.9039,9.121922,
Sample,1,24,10/27/2022,grassesIN_T0_3,4950,12:48:15 PM,2.53E-10,9.67E-11,1.06E-11,23.90464,9.120898,
Sample,1,24,10/27/2022,1_T0_1,5065,12:51:12 PM,2.47E-10,7.13E-11,1.03E-11,23.95033,6.915707,
Sample,1,24,10/27/2022,1_T0_2,5068,12:51:17 PM,2.47E-10,7.11E-11,1.03E-11,23.94681,6.900814,
Sample,1,24,10/27/2022,1_T0_3,5070,12:51:20 PM,2.47E-10,7.10E-11,1.03E-11,23.94213,6.891369,
Sample,1,24,10/27/2022,2_T0_1,5215,12:55:03 PM,2.48E-10,9.01E-11,1.04E-11,23.87669,8.680361,
Sample,1,24,10/27/2022,2_T0_2,5219,12:55:10 PM,2.48E-10,9.02E-11,1.04E-11,23.88445,8.689577,
Sample,1,24,10/27/2022,2_T0_3,5224,12:55:17 PM,2.48E-10,9.02E-11,1.04E-11,23.88515,8.699759,
