Type,Group,CollectionTemp,Time,calfactor_28,calfactor_32,calfactor_40,calfactor_N2Ar,calfactor_O2Ar
Standard,1,20,4/16/24 11:05,2.99E+12,3.34E+12,2.06E+12,1.447927954,1.621105646
Standard,1,30,4/16/24 11:11,2.94E+12,3.50E+12,2.04E+12,1.439495359,1.713156419
Standard,2,20,4/16/24 11:27,3.04E+12,3.43E+12,2.10E+12,1.443662948,1.635672929
Standard,2,30,4/16/24 11:32,2.95E+12,3.54E+12,2.06E+12,1.438734913,1.716563447
Standard,3,20,4/16/24 11:53,3.07E+12,3.50E+12,2.13E+12,1.443358301,1.646575681
Standard,3,30,4/16/24 11:57,3.01E+12,3.60E+12,2.09E+12,1.438284047,1.723717443
Standard,4,20,4/16/24 12:14,3.11E+12,3.54E+12,2.15E+12,1.447110981,1.646688057
Standard,4,30,4/16/24 12:19,3.03E+12,3.64E+12,2.11E+12,1.437621243,1.723426452
Standard,5,20,4/16/24 12:36,3.14E+12,3.57E+12,2.18E+12,1.446399534,1.639329095
Standard,5,30,4/16/24 12:40,3.09E+12,3.69E+12,2.14E+12,1.440847921,1.723537144
Standard,6,20,4/16/24 12:58,3.18E+12,3.60E+12,2.20E+12,1.442977942,1.635641002
Standard,6,30,4/16/24 13:01,3.14E+12,3.73E+12,2.17E+12,1.440104155,1.716206321
Standard,7,20,4/16/24 13:23,3.22E+12,3.65E+12,2.23E+12,1.443267472,1.636724214
Standard,7,30,4/16/24 13:27,3.16E+12,3.78E+12,2.20E+12,1.438471552,1.717846206
