NeedleNumber,ResultID,Position ,SampleType,SampleIdentity,Comments,ExternalDilution,NO3 NO2- Results[ug/L],NO3 NO2- Height,NO3 NO2- CorrectedHeight,NO3 NO2- RawResults,orthoP- Results[ug/L],orthoP- Height,orthoP- CorrectedHeight,orthoP- RawResults,NH3- Results[ug/L],NH3- Height,NH3- CorrectedHeight,NH3- RawResults
1,0,IW        ,IW        ,InitialWash,,1,-1.27,0.8952,0,-1.27,5.66,1.0561,0,5.66,0,0.9042,0,0
1,1,A1        ,T         ,Tracer,600,1,682.14,1.2493,0.3538,682.14,485.77,1.6608,0.6016,485.77,597.52,1.7125,0.8056,597.52
1,2,WT        ,W         ,Wash,,1,-1.27,0.896,0,-1.27,5.66,1.0623,0,5.66,0,0.9096,0,0
1,3,A2        ,S1        ,Standard1,0,1,-0.69,0.8964,0.0003,-0.69,4.87,1.0616,-0.001,4.87,1.25,0.9121,0.0017,1.25
1,4,A3        ,S2        ,Standard2,5,1,6.44,0.9001,0.004,6.44,6.7,1.0642,0.0013,6.7,5.27,0.9184,0.0071,5.27
1,5,A4        ,S3        ,Standard3,10,1,10.51,0.9023,0.0061,10.51,10,1.0686,0.0054,10,10.08,0.9257,0.0136,10.08
1,6,A5        ,S4        ,Standard4,25,1,22.78,0.9087,0.0124,22.78,22.83,1.085,0.0215,22.83,25.85,0.9477,0.0349,25.85
1,7,A6        ,S5        ,Standard5,50,1,51.49,0.9236,0.0273,51.49,46.37,1.1148,0.051,46.37,50.85,0.9823,0.0686,50.85
1,8,A7        ,S6        ,Standard6,100,1,99.24,0.9483,0.052,99.24,103.66,1.1869,0.1228,103.66,169.37,1.1429,0.2283,169.37
1,9,A8        ,S7        ,Standard7,200,1,200.22,1.0007,0.1043,200.22,195.68,1.3025,0.2381,195.68,195.13,1.1784,0.2631,195.13
1,10,A9        ,S8        ,Standard8,400,1,417.25,1.1131,0.2166,417.25,396.09,1.5539,0.4892,396.09,400.13,1.4556,0.5394,400.13
1,11,A10       ,S9        ,Standard9,600,1,689.8,1.2542,0.3577,689.8,603.82,1.8145,0.7496,603.82,601.43,1.7278,0.8108,601.43
1,12,WT        ,WI        ,WashIgnore,,1,1.21,0.8978,0.0013,1.21,8.67,1.069,0.0038,8.67,1.93,0.9204,0.0026,1.93
1,13,A11       ,D         ,Drift,"std5, 50mg/l",1,50.5,0.9234,0.0268,50.5,52.37,1.124,0.0585,52.37,51.6,0.9882,0.0696,51.6
1,14,WT        ,W         ,Wash,,1,-1.27,0.8966,0,-1.27,5.66,1.0658,0,5.66,0,0.9194,0,0
1,15,A12       ,U         ,grasses_1_20220711_F,,1,-0.41,0.897,0.0004,-0.41,39.57,1.1078,0.0425,39.57,11.45,0.9355,0.0154,11.45
1,16,A13       ,U         ,grasses_2_20220711_F,,1,8.37,0.9014,0.005,8.37,47.2,1.117,0.0521,47.2,22.74,0.9515,0.0307,22.74
1,17,A14       ,U         ,grasses_3_20220711_F,,1,32.64,0.9137,0.0176,32.64,22.84,1.087,0.0215,22.84,29.19,0.961,0.0394,29.19
1,18,A15       ,U         ,open_water_4_20220711_F,,1,33.68,0.914,0.0181,33.68,10.67,1.0721,0.0063,10.67,18.23,0.9467,0.0246,18.23
1,19,A16       ,U         ,open_water_5_20220711_F,,1,-2.78,0.8955,-0.0008,-2.78,21.6,1.0854,0.02,21.6,17.01,0.9457,0.0229,17.01
1,20,A17       ,U         ,open_water_6_20220711_F,,1,-0.19,0.8967,0.0006,-0.19,10.17,1.0716,0.0057,10.17,12.43,0.9401,0.0168,12.43
1,21,A18       ,U         ,hardwoods_7_20220711_F,,1,-1.18,0.8961,0,-1.18,20.99,1.0845,0.0192,20.99,13.72,0.9425,0.0185,13.72
1,22,A19       ,U         ,hardwoods_8_20220711_F,,1,2.26,0.8978,0.0018,2.26,14.53,1.0768,0.0111,14.53,13.75,0.9432,0.0185,13.75
1,23,A20       ,U         ,hardwoods_9_20220711_F,,1,3.07,0.8981,0.0022,3.07,20.06,1.0833,0.0181,20.06,13.49,0.9435,0.0182,13.49
1,24,A21       ,U         ,typha_10_20220711_F,,1,3.45,0.8982,0.0024,3.45,17.83,1.0807,0.0153,17.83,16.75,0.9486,0.0226,16.75
1,25,WT        ,WI        ,WashIgnore,,1,-1.71,0.8955,-0.0002,-1.71,5.85,1.0667,0.0002,5.85,-0.07,0.9259,-0.0001,-0.07
1,26,A22       ,D         ,Drift,std5,1,47.71,0.921,0.0254,47.71,48.7,1.1205,0.0539,48.7,53.33,0.9985,0.0719,53.33
1,27,WT        ,W         ,Wash,,1,-1.27,0.8956,0,-1.27,5.66,1.0666,0,5.66,0,0.9272,0,0
1,28,A23       ,U         ,std2,,1,8.87,0.9006,0.0052,8.87,8.72,1.0701,0.0038,8.72,7.72,0.9384,0.0104,7.72
1,29,A24       ,U         ,std3,,1,10.63,0.9015,0.0062,10.63,13.39,1.0755,0.0097,13.39,12.86,0.946,0.0173,12.86
1,30,A25       ,U         ,typha_11_20220711_F,,1,1.28,0.8968,0.0013,1.28,23.16,1.0868,0.0219,23.16,17.71,0.9532,0.0239,17.71
