NeedleNumber,ResultID,Position ,SampleType,SampleIdentity,Comments,ExternalDilution,NO3 NO2- Results[ug/L],NO3 NO2- Height,NO3 NO2- CorrectedHeight,NO3 NO2- RawResults,orthoP- Results[ug/L],orthoP- Height,orthoP- CorrectedHeight,orthoP- RawResults,NH3- Results[ug/L],NH3- Height,NH3- CorrectedHeight,NH3- RawResults
1,0,IW        ,IW        ,InitialWash,,1.0000,3.48,0.9563,0.0000,3.48,7.33,1.0698,0.0000,7.33,0.66,0.8829,0.0000,0.66
1,1,A1        ,T         ,Tracer,,1.0000,496.33,1.3150,0.3584,496.33,482.12,1.6768,0.6040,482.12,499.20,1.6616,0.7778,499.20
1,2,WT        ,W         ,Wash,,1.0000,3.48,0.9570,0.0000,3.48,7.33,1.0757,0.0000,7.33,0.66,0.8846,0.0000,0.66
1,3,A2        ,S1        ,Standard1,0 ug/L,1.0000,3.69,0.9573,0.0002,3.69,6.32,1.0745,-0.0013,6.32,4.80,0.8914,0.0065,4.80
1,4,A3        ,S2        ,Standard2,10 ug/L,1.0000,17.61,0.9676,0.0103,17.61,11.95,1.0817,0.0059,11.95,14.92,0.9075,0.0223,14.92
1,5,A4        ,S3        ,Standard3,20 ug/L,1.0000,21.27,0.9704,0.0129,21.27,20.36,1.0925,0.0166,20.36,22.34,0.9194,0.0338,22.34
1,6,A5        ,S4        ,Standard4,50 ug/L,1.0000,45.46,0.9881,0.0305,45.46,44.49,1.1233,0.0473,44.49,44.59,0.9545,0.0685,44.59
1,7,A6        ,S5        ,Standard5,75 ug/L,1.0000,73.76,1.0088,0.0511,73.76,74.26,1.1612,0.0851,74.26,74.18,1.0010,0.1147,74.18
1,8,A7        ,S6        ,Standard6,100 ug/L,1.0000,60.62,0.9994,0.0415,60.62,63.01,1.1470,0.0708,63.01,62.93,0.9837,0.0972,62.93
1,9,A8        ,S7        ,Standard7,250 ug/L,1.0000,200.36,1.1011,0.1432,200.36,199.25,1.3204,0.2442,199.25,205.05,1.2058,0.3189,205.05
1,10,A9        ,S8        ,Standard8,500 ug/L,1.0000,500.53,1.3195,0.3614,500.53,501.36,1.7048,0.6285,501.36,502.05,1.6695,0.7822,502.05
1,22,A20       ,D         ,Drift,100 ug/L,1.0000,106.01,1.0342,0.0746,106.01,99.04,1.1938,0.1167,99.04,101.26,1.0480,0.1570,101.26
1,23,WT        ,W         ,Wash,,1.0000,3.48,0.9598,0.0000,3.48,7.33,1.0772,0.0000,7.33,0.66,0.8914,0.0000,0.66
1,24,A21       ,Q1        ,Quality Control1,0 ug/L,1.0000,3.70,0.9599,0.0002,3.70,6.87,1.0767,-0.0006,6.87,7.18,0.9020,0.0102,7.18
1,25,WT        ,WI        ,WashIgnore,,1.0000,3.20,0.9595,-0.0002,3.20,6.59,1.0764,-0.0009,6.59,0.92,0.8924,0.0004,0.92
1,79,A64       ,U         ,W04062,20220920_TRUC_wcs_F,1.0000,8.96,0.9652,0.0040,8.96,8.22,1.0798,0.0011,8.22,16.57,0.9305,0.0248,16.57
