NeedleNumber,ResultID,Position ,SampleType,SampleIdentity,Comments,ExternalDilution,NO3 NO2- Results[ug/L],NO3 NO2- Height,NO3 NO2- CorrectedHeight,NO3 NO2- RawResults,orthoP- Results[ug/L],orthoP- Height,orthoP- CorrectedHeight,orthoP- RawResults,NH3- Results[ug/L],NH3- Height,NH3- CorrectedHeight,NH3- RawResults
1,0,IW        ,IW        ,InitialWash,,1.0000,-0.29,0.9872,0.0000,-0.29,8.24,1.0776,0.0000,8.24,-6.03,0.9219,0.0000,-6.03
1,1,A1        ,T         ,Tracer,,1.0000,594.52,1.3922,0.4047,594.52,586.59,1.8084,0.7278,586.59,592.33,2.0144,1.0916,592.33
1,2,WT        ,W         ,Wash,,1.0000,-0.29,0.9877,0.0000,-0.29,8.24,1.0836,0.0000,8.24,-6.03,0.9237,0.0000,-6.03
1,3,A2        ,S1        ,Standard1,0,1.0000,0.31,0.9883,0.0004,0.31,7.23,1.0826,-0.0013,7.23,4.32,0.9429,0.0189,4.32
1,4,A3        ,S2        ,Standard2,5,1.0000,5.67,0.9922,0.0041,5.67,8.04,1.0838,-0.0003,8.04,4.11,0.9428,0.0185,4.11
1,5,A4        ,S3        ,Standard3,10,1.0000,9.79,0.9953,0.0069,9.79,9.43,1.0858,0.0015,9.43,6.91,0.9483,0.0236,6.91
1,6,A5        ,S4        ,Standard4,25,1.0000,36.89,1.0140,0.0253,36.89,16.63,1.0951,0.0106,16.63,21.62,0.9754,0.0504,21.62
1,7,A6        ,S5        ,Standard5,50,1.0000,70.92,1.0374,0.0485,70.92,35.69,1.1193,0.0345,35.69,50.21,1.0279,0.1026,50.21
1,8,A7        ,S6        ,Standard6,100,1.0000,98.97,1.0567,0.0675,98.97,83.22,1.1794,0.0944,83.22,99.65,1.1184,0.1928,99.65
1,9,A8        ,S7        ,Standard7,200,1.0000,220.06,1.1394,0.1499,220.06,188.65,1.3123,0.2270,188.65,201.37,1.3043,0.3784,201.37
1,10,A9        ,S8        ,Standard8,400,1.0000,400.25,1.2622,0.2726,400.25,393.66,1.5705,0.4850,393.66,406.09,1.6781,0.7519,406.09
1,11,A10       ,S9        ,Standard9,600,1.0000,569.36,1.3776,0.3876,569.36,607.99,1.8405,0.7548,607.99,595.73,2.0244,1.0978,595.73
1,12,WT        ,WI        ,WashIgnore,,1.0000,0.62,0.9908,0.0006,0.62,11.94,1.0906,0.0047,11.94,-5.50,0.9279,0.0010,-5.50
1,13,A11       ,D         ,Drift,25,1.0000,35.61,1.0149,0.0244,35.61,18.86,1.0996,0.0134,18.86,23.05,0.9803,0.0531,23.05
1,14,WT        ,W         ,Wash,,1.0000,-0.29,0.9907,0.0000,-0.29,8.24,1.0865,0.0000,8.24,-6.03,0.9276,0.0000,-6.03
1,15,A12       ,Q1        ,Quality Control1,0,1.0000,1.02,0.9918,0.0009,1.02,7.97,1.0864,-0.0003,7.97,5.76,0.9496,0.0215,5.76
1,16,A13       ,U         ,1A1,,1.0000,44.18,1.0212,0.0303,44.18,456.43,1.6459,0.5640,456.43,392.81,1.6633,0.7276,392.81
1,17,A14       ,U         ,1A2,,1.0000,4.52,0.9946,0.0033,4.52,119.46,1.2255,0.1400,119.46,116.55,1.1554,0.2236,116.55
1,18,A15       ,U         ,1A3,,3.0000,31.62,0.9989,0.0074,10.54,572.42,1.3137,0.2298,190.81,634.67,1.3328,0.3970,211.56
1,19,A16       ,U         ,1B1,,3.0000,15.69,0.9955,0.0038,5.23,937.82,1.4638,0.3830,312.61,940.18,1.5240,0.5827,313.39
1,20,A17       ,U         ,1B2,,1.0000,8.03,0.9976,0.0057,8.03,276.91,1.4189,0.3381,276.91,54.02,1.0423,0.1096,54.02
1,21,A18       ,U         ,1B3,,1.0000,12.23,1.0007,0.0085,12.23,539.18,1.7402,0.6682,539.18,185.71,1.2897,0.3498,185.71
1,22,A19       ,U         ,1C1,precipitant visible,1.0000,49.52,1.0258,0.0339,49.52,43.67,1.1318,0.0446,43.67,369.28,1.6361,0.6847,369.28
1,23,A20       ,U         ,1C2,,1.0000,13.26,1.0018,0.0092,13.26,151.88,1.2640,0.1808,151.88,252.56,1.4188,0.4718,252.56
1,24,A21       ,U         ,1C3,,1.0000,6.17,0.9972,0.0044,6.17,274.87,1.4133,0.3355,274.87,218.65,1.3567,0.4099,218.65
1,25,WT        ,WI        ,WashIgnore,,1.0000,-1.05,0.9927,-0.0005,-1.05,10.80,1.0923,0.0032,10.80,-4.23,0.9358,0.0033,-4.23
1,26,A22       ,D         ,Drift,25,1.0000,34.63,1.0172,0.0238,34.63,12.72,1.0948,0.0056,12.72,26.43,0.9946,0.0592,26.43
1,27,WT        ,W         ,Wash,,1.0000,-0.29,0.9936,0.0000,-0.29,8.24,1.0897,0.0000,8.24,-6.03,0.9333,0.0000,-6.03
1,28,A23       ,Q2        ,Quality Control2,50,1.0000,74.32,1.0425,0.0508,74.32,20.33,1.1044,0.0152,20.33,48.27,1.0381,0.0991,48.27
1,29,A24       ,U         ,2A1,precip,3.0000,47.03,1.0043,0.0109,15.68,104.46,1.1219,0.0334,34.82,3295.65,3.0563,2.0152,1098.55
1,30,A25       ,U         ,2A2,precip,3.0000,51.80,1.0054,0.0119,17.27,547.05,1.2981,0.2191,182.35,2844.80,2.7743,1.7410,948.27
