NeedleNumber,ResultID,Position ,SampleType,SampleIdentity,Comments,ExternalDilution,NO3 NO2- Results[ug/L],NO3 NO2- Height,NO3 NO2- CorrectedHeight,NO3 NO2- RawResults,orthoP- Results[ug/L],orthoP- Height,orthoP- CorrectedHeight,orthoP- RawResults,NH3- Results[ug/L],NH3- Height,NH3- CorrectedHeight,NH3- RawResults
1,0,IW        ,IW        ,InitialWash,,1.0000,-1.77,2.1751,0.0000,-1.77,0.97,1.0715,0.0000,0.97,-0.79,1.8090,0.0000,-0.79
1,1,A1        ,T         ,Tracer,200,1.0000,197.09,2.2922,0.1169,197.09,196.97,1.2748,0.2016,196.97,198.85,2.1069,0.2973,198.85
1,2,WT        ,W         ,Wash,,1.0000,-1.77,2.1754,0.0000,-1.77,0.97,1.0749,0.0000,0.97,-0.79,1.8102,0.0000,-0.79
1,3,A2        ,S1        ,Standard1,0,1.0000,-2.37,2.1750,-0.0004,-2.37,0.84,1.0752,-0.0001,0.84,1.20,1.8135,0.0030,1.20
1,4,A3        ,S2        ,Standard2,2.5,1.0000,35.27,2.1971,0.0218,35.27,4.43,1.0793,0.0036,4.43,4.42,1.8186,0.0077,4.42
1,5,A4        ,S3        ,Standard3,5,1.0000,57.02,2.2099,0.0346,57.02,5.98,1.0813,0.0051,5.98,4.79,1.8195,0.0083,4.79
1,6,A5        ,S4        ,Standard4,10,1.0000,46.39,2.2036,0.0283,46.39,9.70,1.0856,0.0090,9.70,8.76,1.8258,0.0142,8.76
1,7,A6        ,S5        ,Standard5,25,1.0000,65.11,2.2146,0.0393,65.11,22.29,1.0989,0.0219,22.29,25.99,1.8518,0.0399,25.99
1,8,A7        ,S6        ,Standard6,50,1.0000,53.00,2.2075,0.0322,53.00,47.34,1.1251,0.0477,47.34,49.22,1.8867,0.0745,49.22
1,9,A8        ,S7        ,Standard7,100,1.0000,97.74,2.2338,0.0585,97.74,99.12,1.1788,0.1009,99.12,94.03,1.9538,0.1412,94.03
1,10,A9        ,S8        ,Standard8,200,1.0000,200.38,2.2941,0.1189,200.38,200.95,1.2840,0.2057,200.95,200.17,2.1122,0.2993,200.17
1,11,WT        ,WI        ,WashIgnore,,1.0000,-0.67,2.1759,0.0006,-0.67,2.77,1.0805,0.0019,2.77,-0.53,1.8136,0.0004,-0.53
1,12,A10       ,D         ,Drift,25,1.0000,40.51,2.2001,0.0249,40.51,21.76,1.1005,0.0214,21.76,26.58,1.8543,0.0408,26.58
1,13,WT        ,W         ,Wash,,1.0000,-1.77,2.1752,0.0000,-1.77,0.97,1.0795,0.0000,0.97,-0.79,1.8139,0.0000,-0.79
1,14,A11       ,Q1        ,Quality Control1,0,1.0000,1.09,2.1769,0.0017,1.09,0.78,1.0794,-0.0002,0.78,2.84,1.8196,0.0054,2.84
1,15,A12       ,U         ,openwater_IN_T1,20230801_MAGM,1.0000,11.41,2.1831,0.0078,11.41,2.28,1.0809,0.0013,2.28,15.33,1.8382,0.0240,15.33
1,16,A13       ,U         ,1_T1,20230801_MAGM,1.0000,24.68,2.1912,0.0156,24.68,3.14,1.0818,0.0022,3.14,94.03,1.9533,0.1412,94.03
1,17,A14       ,U         ,2_T1,20230801_MAGM,1.0000,19.59,2.1882,0.0126,19.59,4.28,1.0830,0.0034,4.28,66.16,1.9124,0.0997,66.16
1,18,A15       ,U         ,3_T1,20230801_MAGM,1.0000,18.26,2.1875,0.0118,18.26,4.21,1.0829,0.0033,4.21,44.01,1.8802,0.0667,44.01
1,19,A16       ,U         ,4_T1,20230801_MAGM,1.0000,38.34,2.1998,0.0236,38.34,3.08,1.0819,0.0022,3.08,49.80,1.8885,0.0753,49.80
1,20,A17       ,U         ,SAVA_IN_T1,20230801_MAGM,1.0000,31.13,2.1956,0.0193,31.13,5.49,1.0842,0.0046,5.49,18.52,1.8436,0.0287,18.52
1,21,A18       ,U         ,5_T1,20230801_MAGM,1.0000,17.46,2.1873,0.0113,17.46,5.43,1.0842,0.0046,5.43,95.24,1.9531,0.1430,95.24
1,22,A19       ,U         ,6_T1,20230801_MAGM,1.0000,14.41,2.1855,0.0095,14.41,6.80,1.0855,0.0060,6.80,57.32,1.8989,0.0865,57.32
1,23,A20       ,U         ,7_T1,20230801_MAGM,1.0000,18.80,2.1883,0.0121,18.80,6.44,1.0852,0.0056,6.44,341.12,2.2990,0.5092,341.12
1,24,A21       ,U         ,8_T1,20230801_MAGM,1.0000,17.30,2.1875,0.0112,17.30,6.29,1.0851,0.0055,6.29,386.54,2.3605,0.5769,386.54
1,25,WT        ,WI        ,WashIgnore,,1.0000,-1.63,2.1758,0.0001,-1.63,1.04,1.0801,0.0001,1.04,0.05,1.8187,0.0012,0.05
1,26,A22       ,D         ,Drift,25,1.0000,43.25,2.2022,0.0265,43.25,19.84,1.0995,0.0194,19.84,24.72,1.8558,0.0380,24.72
1,27,WT        ,W         ,Wash,,1.0000,-1.77,2.1758,0.0000,-1.77,0.97,1.0802,0.0000,0.97,-0.79,1.8181,0.0000,-0.79
1,28,A23       ,Q2        ,Quality Control2,10,1.0000,18.94,2.1888,0.0122,18.94,8.88,1.0876,0.0081,8.88,14.30,1.8395,0.0225,14.30
1,29,A24       ,U         ,SAVB_IN_T1,20230801_MAGM,1.0000,9.56,2.1830,0.0067,9.56,8.46,1.0873,0.0077,8.46,17.14,1.8438,0.0267,17.14
1,30,A25       ,U         ,9_T1,20230801_MAGM,1.0000,15.40,2.1867,0.0101,15.40,10.08,1.0889,0.0094,10.08,38.05,1.8736,0.0578,38.05
1,31,A26       ,U         ,10_T1,20230801_MAGM,1.0000,22.15,2.1909,0.0141,22.15,13.51,1.0922,0.0129,13.51,48.16,1.8883,0.0729,48.16
1,32,A27       ,U         ,11_T1,20230801_MAGM,1.0000,23.86,2.1920,0.0151,23.86,9.88,1.0888,0.0092,9.88,104.41,1.9682,0.1567,104.41
1,33,A28       ,U         ,12_T1,20230801_MAGM,1.0000,21.39,2.1905,0.0136,21.39,9.13,1.0882,0.0084,9.13,24.31,1.8555,0.0374,24.31
1,34,A29       ,U         ,hardwoods_IN_T1,20230801_MAGM,1.0000,8.55,2.1827,0.0061,8.55,21.63,1.1002,0.0213,21.63,18.18,1.8472,0.0282,18.18
1,35,A30       ,U         ,13_T1,20230801_MAGM,1.0000,17.59,2.1883,0.0114,17.59,18.88,1.0976,0.0184,18.88,241.18,2.1651,0.3604,241.18
1,36,A31       ,U         ,14_T1,20230801_MAGM,1.0000,14.16,2.1862,0.0094,14.16,32.39,1.1106,0.0323,32.39,940.66,3.1651,1.4022,940.66
1,37,A32       ,U         ,15_T1,20230801_MAGM,1.0000,14.81,2.1867,0.0097,14.81,30.14,1.1086,0.0300,30.14,100.67,1.9665,0.1511,100.67
1,38,A33       ,U         ,16_T1,20230801_MAGM,1.0000,17.35,2.1883,0.0112,17.35,17.34,1.0964,0.0168,17.34,280.21,2.2250,0.4185,280.21
1,39,WT        ,WI        ,WashIgnore,,1.0000,-2.02,2.1766,-0.0001,-2.02,1.29,1.0811,0.0003,1.29,-0.46,1.8224,0.0005,-0.46
1,40,A34       ,D         ,Drift,25,1.0000,64.72,2.2169,0.0391,64.72,24.96,1.1039,0.0247,24.96,25.73,1.8617,0.0395,25.73
1,41,WT        ,W         ,Wash,,1.0000,-1.77,2.1769,0.0000,-1.77,0.97,1.0809,0.0000,0.97,-0.79,1.8225,0.0000,-0.79
1,42,A35       ,S6        ,Quality Control3,50,1.0000,49.48,2.2077,0.0301,49.48,51.85,1.1302,0.0523,51.85,49.86,1.8959,0.0754,49.86
1,43,A36       ,U         ,openwater_IN_T2,20230802_MAGM,1.0000,16.17,2.1877,0.0105,16.17,3.94,1.0838,0.0030,3.94,42.88,1.8860,0.0650,42.88
1,44,A37       ,U         ,1_T2,20230802_MAGM,1.0000,17.46,2.1885,0.0113,17.46,4.16,1.0841,0.0033,4.16,105.60,1.9768,0.1585,105.60
1,45,A38       ,U         ,2_T2,20230802_MAGM,1.0000,23.84,2.1923,0.0151,23.84,5.49,1.0854,0.0046,5.49,87.05,1.9502,0.1308,87.05
1,46,A39       ,U         ,3_T2,20230802_MAGM,1.0000,19.96,2.1899,0.0128,19.96,7.85,1.0878,0.0071,7.85,60.04,1.9114,0.0906,60.04
1,47,A40       ,U         ,4_T2,20230802_MAGM,1.0000,22.58,2.1915,0.0143,22.58,4.83,1.0848,0.0040,4.83,76.34,1.9352,0.1149,76.34
1,48,A41       ,U         ,SAVA_IN_T2,20230802_MAGM,1.0000,18.47,2.1890,0.0119,18.47,7.04,1.0871,0.0062,7.04,34.92,1.8756,0.0532,34.92
1,49,A42       ,U         ,5_T2,20230802_MAGM,1.0000,15.98,2.1876,0.0104,15.98,5.19,1.0853,0.0043,5.19,96.76,1.9651,0.1453,96.76
1,50,A43       ,U         ,6_T2,20230802_MAGM,1.0000,18.60,2.1891,0.0120,18.60,6.30,1.0864,0.0055,6.30,64.07,1.9181,0.0966,64.07
1,51,A44       ,U         ,7_T2,20230802_MAGM,1.0000,22.68,2.1915,0.0144,22.68,5.65,1.0858,0.0048,5.65,98.26,1.9677,0.1475,98.26
1,52,A45       ,U         ,8_T2,20230802_MAGM,1.0000,18.19,2.1889,0.0117,18.19,5.66,1.0859,0.0048,5.66,152.85,2.0467,0.2288,152.85
1,53,WT        ,WI        ,WashIgnore,,1.0000,-1.89,2.1772,-0.0001,-1.89,0.74,1.0810,-0.0002,0.74,-0.41,1.8257,0.0006,-0.41
1,54,A46       ,D         ,Drift,25,1.0000,39.90,2.2018,0.0245,39.90,21.10,1.1020,0.0207,21.10,25.73,1.8648,0.0395,25.73
1,55,WT        ,W         ,Wash,,1.0000,-1.77,2.1773,0.0000,-1.77,0.97,1.0813,0.0000,0.97,-0.79,1.8256,0.0000,-0.79
1,56,A47       ,S1        ,Quality Control1,0,1.0000,-1.12,2.1777,0.0004,-1.12,0.69,1.0811,-0.0003,0.69,1.78,1.8294,0.0038,1.78
1,57,A48       ,U         ,SAVB_IN_T2,20230802_MAGM,1.0000,16.28,2.1876,0.0106,16.28,6.99,1.0874,0.0062,6.99,29.76,1.8693,0.0455,29.76
1,58,A49       ,U         ,9_T2,20230802_MAGM,1.0000,19.55,2.1894,0.0125,19.55,5.82,1.0862,0.0050,5.82,55.99,1.9062,0.0846,55.99
1,59,A50       ,U         ,10_T2,20230802_MAGM,1.0000,21.05,2.1901,0.0134,21.05,7.19,1.0876,0.0064,7.19,65.28,1.9190,0.0984,65.28
1,60,A51       ,U         ,11_T2,20230802_MAGM,1.0000,20.39,2.1897,0.0130,20.39,7.61,1.0880,0.0068,7.61,133.89,2.0142,0.2006,133.89
1,61,A52       ,U         ,12_T2,20230802_MAGM,1.0000,26.32,2.1929,0.0165,26.32,7.02,1.0874,0.0062,7.02,27.94,1.8666,0.0428,27.94
1,62,A53       ,U         ,hardwoods_IN_T2,20230802_MAGM,1.0000,16.02,2.1871,0.0105,16.02,28.66,1.1089,0.0285,28.66,57.69,1.9075,0.0871,57.69
1,63,A54       ,U         ,13_T2,20230802_MAGM,1.0000,16.36,2.1873,0.0107,16.36,43.40,1.1235,0.0436,43.40,259.12,2.1826,0.3871,259.12
1,64,A55       ,U         ,14_T2,20230802_MAGM,1.0000,16.59,2.1873,0.0108,16.59,120.32,1.1997,0.1228,120.32,785.30,2.8958,1.1708,785.30
1,65,A56       ,U         ,15_T2,20230802_MAGM,1.0000,18.47,2.1883,0.0119,18.47,72.31,1.1522,0.0734,72.31,226.97,2.1352,0.3392,226.97
1,66,A57       ,U         ,16_T2,20230802_MAGM,1.0000,19.43,2.1887,0.0125,19.43,39.79,1.1199,0.0399,39.79,497.86,2.4971,0.7427,497.86
1,67,WT        ,WI        ,WashIgnore,,1.0000,-1.52,2.1775,0.0001,-1.52,1.82,1.0824,0.0009,1.82,0.22,1.8294,0.0015,0.22
1,68,A58       ,D         ,Drift,25,1.0000,36.29,2.1997,0.0224,36.29,20.95,1.1021,0.0205,20.95,23.56,1.8645,0.0363,23.56
1,69,WT        ,W         ,Wash,,1.0000,-1.77,2.1774,0.0000,-1.77,0.97,1.0816,0.0000,0.97,-0.79,1.8284,0.0000,-0.79
1,70,A59       ,S3        ,STd 3,5,1.0000,12.33,2.1848,0.0083,12.33,4.83,1.0854,0.0040,4.83,5.92,1.8375,0.0100,5.92
1,71,A60       ,U         ,openwater_IN_T3,20230803_MAGM,1.0000,20.76,2.1893,0.0132,20.76,3.72,1.0843,0.0028,3.72,67.41,1.9187,0.1016,67.41
1,72,A61       ,U         ,1_T3,20230803_MAGM,1.0000,24.15,2.1911,0.0152,24.15,3.85,1.0844,0.0030,3.85,117.78,1.9850,0.1766,117.78
1,73,A62       ,U         ,2_T3,20230803_MAGM,1.0000,19.55,2.1887,0.0125,19.55,4.65,1.0851,0.0038,4.65,110.33,1.9752,0.1655,110.33
1,74,A63       ,U         ,3_T3,20230803_MAGM,1.0000,22.34,2.1902,0.0142,22.34,3.97,1.0844,0.0031,3.97,73.50,1.9269,0.1106,73.50
1,75,A64       ,U         ,4_T3,20230803_MAGM,1.0000,17.84,2.1879,0.0115,17.84,3.16,1.0836,0.0022,3.16,92.26,1.9514,0.1386,92.26
1,76,A65       ,U         ,SAVA_IN_T3,20230803_MAGM,1.0000,22.87,2.1905,0.0145,22.87,7.27,1.0876,0.0065,7.27,44.65,1.8893,0.0677,44.65
1,77,A66       ,U         ,5_T3,20230803_MAGM,1.0000,18.84,2.1885,0.0121,18.84,3.64,1.0841,0.0027,3.64,67.17,1.9187,0.1012,67.17
1,78,A67       ,U         ,6_T3,20230803_MAGM,1.0000,19.29,2.1887,0.0124,19.29,5.09,1.0855,0.0042,5.09,60.04,1.9095,0.0906,60.04
1,79,A68       ,U         ,7_T3,20230803_MAGM,1.0000,21.49,2.1899,0.0137,21.49,3.88,1.0843,0.0030,3.88,70.21,1.9228,0.1057,70.21
1,80,A69       ,U         ,8_T3,20230803_MAGM,1.0000,19.05,2.1887,0.0122,19.05,5.10,1.0854,0.0042,5.10,107.02,1.9704,0.1606,107.02
1,81,WT        ,WI        ,WashIgnore,,1.0000,-2.14,2.1779,-0.0002,-2.14,0.96,1.0814,0.0000,0.96,-0.76,1.8312,0.0000,-0.76
1,82,A70       ,D         ,Drift,25,1.0000,52.02,2.2054,0.0316,52.02,20.67,1.1016,0.0203,20.67,22.88,1.8667,0.0352,22.88
1,83,WT        ,W         ,Wash,,1.0000,-1.77,2.1782,0.0000,-1.77,0.97,1.0813,0.0000,0.97,-0.79,1.8316,0.0000,-0.79
1,84,A71       ,S6        ,Std 6,50,1.0000,103.91,2.2314,0.0621,103.91,48.94,1.1284,0.0493,48.94,49.69,1.9072,0.0752,49.69
1,85,A72       ,U         ,SAVB_IN_T3,20230803_MAGM,1.0000,26.47,2.1925,0.0166,26.47,10.57,1.0908,0.0099,10.57,41.36,1.8951,0.0628,41.36
1,86,A73       ,U         ,9_T3,20230803_MAGM,1.0000,23.68,2.1910,0.0150,23.68,9.02,1.0893,0.0083,9.02,64.03,1.9292,0.0965,64.03
1,87,A74       ,U         ,10_T3,20230803_MAGM,1.0000,22.55,2.1905,0.0143,22.55,8.18,1.0885,0.0074,8.18,53.72,1.9142,0.0812,53.72
1,88,A75       ,U         ,11_T3,20230803_MAGM,1.0000,22.32,2.1903,0.0142,22.32,10.24,1.0906,0.0095,10.24,109.92,1.9982,0.1649,109.92
1,89,A76       ,U         ,12_T3,20230803_MAGM,1.0000,19.76,2.1890,0.0127,19.76,7.23,1.0877,0.0064,7.23,32.49,1.8832,0.0496,32.49
1,90,A77       ,U         ,hardwoods_IN_T3,20230803_MAGM,1.0000,18.87,2.1886,0.0121,18.87,34.10,1.1145,0.0341,34.10,79.32,1.9533,0.1193,79.32
1,91,A78       ,U         ,13_T3,20230803_MAGM,1.0000,20.31,2.1893,0.0130,20.31,66.75,1.1471,0.0677,66.75,242.89,2.1973,0.3629,242.89
1,92,A79       ,U         ,14_T3,20230803_MAGM,1.0000,17.47,2.1879,0.0113,17.47,70.73,1.1513,0.0717,70.73,244.42,2.1999,0.3652,244.42
1,93,A80       ,U         ,15_T3,20230803_MAGM,1.0000,24.04,2.1911,0.0152,24.04,88.58,1.1694,0.0901,88.58,321.83,2.3155,0.4805,321.83
1,94,A81       ,U         ,16_T3,20230803_MAGM,1.0000,21.43,2.1898,0.0136,21.43,43.78,1.1246,0.0440,43.78,216.53,2.1590,0.3237,216.53
1,95,A82       ,U         ,BLANK_T1,20230801_MAGM,1.0000,16.58,2.1875,0.0108,16.58,1.85,1.0824,0.0009,1.85,4.06,1.8429,0.0072,4.06
1,96,A83       ,U         ,BLANK_T2,20230802_MAGM,1.0000,17.91,2.1881,0.0116,17.91,1.21,1.0818,0.0002,1.21,3.52,1.8424,0.0064,3.52
1,97,A84       ,U         ,BLANK_T3,20230803_MAGM,1.0000,18.19,2.1882,0.0117,18.19,0.88,1.0815,-0.0001,0.88,2.99,1.8420,0.0056,2.99
1,98,WT        ,WI        ,WashIgnore,,1.0000,-2.05,2.1785,-0.0002,-2.05,0.78,1.0814,-0.0002,0.78,-0.51,1.8371,0.0004,-0.51
1,99,A85       ,D         ,Drift,25,1.0000,32.65,2.1989,0.0202,32.65,21.55,1.1028,0.0212,21.55,26.91,1.8783,0.0413,26.91
1,100,WT        ,W         ,Wash,,1.0000,-1.77,2.1787,0.0000,-1.77,0.97,1.0817,0.0000,0.97,-0.79,1.8374,0.0000,-0.79
