NeedleNumber,ResultID,Position ,SampleType,SampleIdentity,Comments,ExternalDilution,NO3 NO2- Results,NO3 NO2- Height,NO3 NO2- CorrectedHeight,NO3 NO2- RawResults,orthoP- Results,orthoP- Height,orthoP- CorrectedHeight,orthoP- RawResults,NH3- Results,NH3- Height,NH3- CorrectedHeight,NH3- RawResults
1,0,IW        ,IW        ,InitialWash,,1.0000,-1.58,2.1512,0.0000,-1.58,4.07,1.0405,0.0000,4.07,2.45,1.7730,0.0000,2.45
1,1,A1        ,T         ,Tracer,400,1.0000,385.82,2.3256,0.1752,385.82,390.17,1.5602,0.5180,390.17,402.53,2.3594,0.5851,402.53
1,2,WT        ,W         ,Wash,,1.0000,-1.58,2.1494,0.0000,-1.58,4.07,1.0439,0.0000,4.07,2.45,1.7754,0.0000,2.45
1,3,A2        ,S1        ,Standard1,0,1.0000,4.08,2.1521,0.0026,4.08,3.65,1.0436,-0.0006,3.65,2.83,1.7762,0.0006,2.83
1,4,A3        ,S2        ,Standard2,2.5,1.0000,6.92,2.1536,0.0038,6.92,4.86,1.0454,0.0011,4.86,5.26,1.7800,0.0041,5.26
1,5,A4        ,S3        ,Standard3,5,1.0000,8.98,2.1547,0.0048,8.98,6.59,1.0479,0.0034,6.59,7.65,1.7838,0.0076,7.65
1,6,A5        ,S4        ,Standard4,10,1.0000,11.44,2.1560,0.0059,11.44,11.59,1.0548,0.0101,11.59,10.38,1.7880,0.0116,10.38
1,7,A6        ,S5        ,Standard5,25,1.0000,24.62,2.1622,0.0119,24.62,23.20,1.0705,0.0257,23.20,25.17,1.8099,0.0332,25.17
1,8,A7        ,S6        ,Standard6,50,1.0000,47.49,2.1727,0.0222,47.49,48.15,1.1042,0.0591,48.15,45.81,1.8403,0.0634,45.81
1,9,A8        ,S7        ,Standard7,100,1.0000,88.71,2.1916,0.0408,88.71,91.57,1.1626,0.1174,91.57,91.42,1.9072,0.1301,91.42
1,10,A9        ,S8        ,Standard8,200,1.0000,194.42,2.2396,0.0887,194.42,201.01,1.3096,0.2642,201.01,202.75,2.0703,0.2930,202.75
1,11,A10       ,S9        ,Standard9,400,1.0000,405.84,2.3354,0.1843,405.84,401.87,1.5792,0.5337,401.87,401.22,2.3608,0.5832,401.22
1,12,WT        ,WI        ,WashIgnore,,1.0000,3.03,2.1534,0.0021,3.03,5.50,1.0476,0.0019,5.50,3.88,1.7799,0.0021,3.88
1,13,A11       ,D         ,Drift,25,1.0000,22.90,2.1625,0.0111,22.90,27.03,1.0767,0.0308,27.03,25.04,1.8111,0.0330,25.04
1,14,WT        ,W         ,Wash,,1.0000,-1.58,2.1517,0.0000,-1.58,4.07,1.0461,0.0000,4.07,2.45,1.7783,0.0000,2.45
1,15,A12       ,Q1        ,Quality Control1,0,1.0000,-0.02,2.1524,0.0007,-0.02,3.70,1.0460,-0.0005,3.70,3.50,1.7801,0.0015,3.50
1,16,A13       ,U         ,W04127,20230731_MAGM_openwater_1,1.0000,1.40,2.1530,0.0014,1.40,10.53,1.0556,0.0087,10.53,16.50,1.7995,0.0205,16.50
1,17,A14       ,U         ,W04128,20230731_MAGM_openwater_2,1.0000,28.47,2.1654,0.0136,28.47,3.95,1.0472,-0.0002,3.95,13.06,1.7947,0.0155,13.06
1,18,A15       ,U         ,W04129,20230731_MAGM_openwater_3,1.0000,5.79,2.1550,0.0033,5.79,3.94,1.0476,-0.0002,3.94,15.55,1.7987,0.0192,15.55
1,19,A16       ,U         ,W04130,20230731_MAGM_openwater_4_could_have_debri,1.0000,3.21,2.1538,0.0022,3.21,4.42,1.0487,0.0005,4.42,14.16,1.7969,0.0171,14.16
1,20,A17       ,U         ,W04131,20230731_MAGM_sav_5,1.0000,5.77,2.1550,0.0033,5.77,6.95,1.0525,0.0039,6.95,17.07,1.8015,0.0214,17.07
1,21,A18       ,U         ,W04132,20230731_MAGM_sav_6,1.0000,7.30,2.1557,0.0040,7.30,8.61,1.0552,0.0061,8.61,17.03,1.8017,0.0213,17.03
1,22,A19       ,U         ,W04133,20230731_MAGM_sav_7,1.0000,3.83,2.1541,0.0025,3.83,6.14,1.0523,0.0028,6.14,15.23,1.7994,0.0187,15.23
1,23,A20       ,U         ,W04134,20230731_MAGM_sav_8,1.0000,7.91,2.1560,0.0043,7.91,6.48,1.0532,0.0032,6.48,18.46,1.8045,0.0234,18.46
1,24,A21       ,U         ,W04135,20230731_MAGM_sav_9,1.0000,4.33,2.1544,0.0027,4.33,11.37,1.0602,0.0098,11.37,18.29,1.8045,0.0232,18.29
1,25,A22       ,U         ,W04136,20230731_MAGM_sav_10,1.0000,4.20,2.1543,0.0026,4.20,14.37,1.0648,0.0138,14.37,19.46,1.8066,0.0249,19.46
1,26,WT        ,WI        ,WashIgnore,,1.0000,2.43,2.1535,0.0018,2.43,4.21,1.0514,0.0002,4.21,2.45,1.7813,0.0000,2.45
1,27,A23       ,D         ,Drift,25,1.0000,26.52,2.1648,0.0127,26.52,26.15,1.0817,0.0296,26.15,26.37,1.8176,0.0350,26.37
1,28,WT        ,W         ,Wash,,1.0000,-1.58,2.1516,0.0000,-1.58,4.07,1.0521,0.0000,4.07,2.45,1.7818,0.0000,2.45
1,29,A24       ,Q2        ,Quality Control 2,10,1.0000,12.47,2.1583,0.0064,12.47,11.94,1.0632,0.0106,11.94,12.01,1.7964,0.0140,12.01
1,30,A25       ,U         ,W04137,20230731_MAGM_sav_11,1.0000,2.62,2.1538,0.0019,2.62,24.98,1.0813,0.0281,24.98,40.91,1.8405,0.0563,40.91
1,31,A26       ,U         ,W04138,20230731_MAGM_sav_12,1.0000,2.84,2.1541,0.0020,2.84,23.77,1.0801,0.0264,23.77,20.72,1.8100,0.0267,20.72
1,32,A27       ,U         ,W04139,20230731_MAGM_hardwoods_13,1.0000,2.44,2.1540,0.0018,2.44,166.31,1.2753,0.2177,166.31,310.82,2.2527,0.4510,310.82
1,33,A28       ,U         ,W04140,20230731_MAGM_hardwoods_14,1.0000,28.36,2.1665,0.0135,28.36,49.84,1.1165,0.0614,49.84,33.89,1.8306,0.0460,33.89
1,34,A29       ,U         ,W04141,20230731_MAGM_hardwoods_15,1.0000,13.48,2.1595,0.0068,13.48,122.56,1.2165,0.1590,122.56,161.09,2.0257,0.2320,161.09
1,35,A30       ,U         ,W04142,20230731_MAGM_hardwoods_16,1.0000,1.50,2.1540,0.0014,1.50,70.71,1.1460,0.0894,70.71,27.19,1.8208,0.0362,27.19
1,36,A31       ,U         ,W04151,20230829_MAGM_openwater_1,1.0000,0.86,2.1538,0.0011,0.86,7.18,1.0593,0.0042,7.18,12.39,1.7982,0.0145,12.39
1,37,A32       ,U         ,W04152,20230829_MAGM_openwater_2,1.0000,1.70,2.1543,0.0015,1.70,6.11,1.0582,0.0027,6.11,14.11,1.8011,0.0171,14.11
1,38,A33       ,U         ,W04153,20230829_MAGM_openwater_3,1.0000,1.43,2.1543,0.0014,1.43,5.73,1.0580,0.0022,5.73,10.72,1.7960,0.0121,10.72
1,39,A34       ,U         ,W04154,20230829_MAGM_openwater_4,1.0000,1.03,2.1543,0.0012,1.03,5.01,1.0574,0.0013,5.01,10.94,1.7965,0.0124,10.94
1,40,WT        ,WI        ,WashIgnore,,1.0000,-1.06,2.1534,0.0002,-1.06,3.96,1.0564,-0.0001,3.96,2.41,1.7835,-0.0001,2.41
1,41,A35       ,D         ,Drift,25,1.0000,22.95,2.1651,0.0111,22.95,26.76,1.0881,0.0304,26.76,26.46,1.8188,0.0351,26.46
1,42,WT        ,W         ,Wash,,1.0000,-1.58,2.1534,0.0000,-1.58,4.07,1.0572,0.0000,4.07,2.45,1.7838,0.0000,2.45
1,43,A36       ,S4        ,std 4,10,1.0000,7.29,2.1576,0.0040,7.29,12.07,1.0683,0.0107,12.07,11.53,1.7972,0.0133,11.53
1,44,A37       ,U         ,W04155,20230829_MAGM_sav_5,1.0000,-0.98,2.1534,0.0003,-0.98,5.83,1.0597,0.0024,5.83,13.54,1.8003,0.0162,13.54
1,45,A38       ,U         ,W04156,20230829_MAGM_sav_6,1.0000,-0.26,2.1537,0.0006,-0.26,7.15,1.0616,0.0041,7.15,15.04,1.8026,0.0184,15.04
1,46,A39       ,U         ,W04157,20230829_MAGM_sav_7,1.0000,-0.50,2.1534,0.0005,-0.50,6.59,1.0608,0.0034,6.59,11.39,1.7974,0.0131,11.39
1,47,A40       ,U         ,W04158,20230829_MAGM_sav_8,1.0000,0.09,2.1536,0.0008,0.09,7.56,1.0622,0.0047,7.56,13.88,1.8012,0.0167,13.88
1,48,A41       ,U         ,W04159,20230829_MAGM_sav_9,1.0000,0.33,2.1536,0.0009,0.33,7.48,1.0621,0.0046,7.48,9.97,1.7957,0.0110,9.97
1,49,A42       ,U         ,W04160,20230829_MAGM_sav_10,1.0000,1.40,2.1540,0.0013,1.40,7.64,1.0624,0.0048,7.64,11.40,1.7979,0.0131,11.40
1,50,A43       ,U         ,W04161,20230829_MAGM_sav_11,1.0000,0.56,2.1535,0.0010,0.56,7.11,1.0617,0.0041,7.11,12.50,1.7996,0.0147,12.50
1,51,A44       ,U         ,W04162,20230829_MAGM_sav_12,1.0000,0.79,2.1535,0.0011,0.79,6.48,1.0608,0.0032,6.48,9.60,1.7955,0.0105,9.60
1,52,A45       ,U         ,W04163,20230829_MAGM_hardwoods_13,1.0000,1.26,2.1536,0.0013,1.26,41.74,1.1100,0.0505,41.74,46.27,1.8493,0.0641,46.27
1,53,A46       ,U         ,W04164,20230829_MAGM_hardwoods_14,1.0000,5.04,2.1554,0.0030,5.04,22.57,1.0833,0.0248,22.57,34.38,1.8320,0.0467,34.38
1,54,A47       ,U         ,W04165,20230829_MAGM_hardwoods_15,1.0000,114.94,2.2102,0.0527,114.94,40.91,1.1090,0.0494,40.91,202.49,2.0780,0.2926,202.49
1,55,A48       ,U         ,W04166,20230829_MAGM_hardwoods_16,1.0000,3.12,2.1542,0.0021,3.12,45.19,1.1150,0.0552,45.19,28.49,1.8237,0.0381,28.49
