NeedleNumber,ResultID,Position ,SampleType,SampleIdentity,Comments,ExternalDilution,NO3 NO2- Results,NO3 NO2- Height,NO3 NO2- CorrectedHeight,NO3 NO2- RawResults,orthoP- Results,orthoP- Height,orthoP- CorrectedHeight,orthoP- RawResults,NH3- Results,NH3- Height,NH3- CorrectedHeight,NH3- RawResults
1,0,IW        ,IW        ,InitialWash,,1.0000,1.94,2.1329,0.0000,1.94,3.07,1.0788,0.0000,3.07,-2.01,1.8079,0.0000,-2.01
1,1,A1        ,T         ,Tracer,400,1.0000,303.32,2.2546,0.1207,303.32,385.18,1.5621,0.4822,385.18,443.28,2.4118,0.6033,443.28
1,2,WT        ,W         ,Wash,,1.0000,1.94,2.1350,0.0000,1.94,3.07,1.0812,0.0000,3.07,-2.01,1.8090,0.0000,-2.01
1,3,A2        ,S1        ,Standard1,0,1.0000,0.42,2.1342,-0.0006,0.42,2.36,1.0803,-0.0009,2.36,0.71,1.8128,0.0037,0.71
1,4,A3        ,S2        ,Standard2,2.5,1.0000,4.40,2.1355,0.0010,4.40,4.21,1.0826,0.0014,4.21,1.95,1.8146,0.0054,1.95
1,5,A4        ,S3        ,Standard3,5,1.0000,3.87,2.1351,0.0008,3.87,5.56,1.0843,0.0031,5.56,7.29,1.8220,0.0126,7.29
1,6,A5        ,S4        ,Standard4,10,1.0000,6.45,2.1359,0.0018,6.45,9.43,1.0891,0.0080,9.43,9.24,1.8248,0.0153,9.24
1,7,A6        ,S5        ,Standard5,25,1.0000,28.04,2.1443,0.0105,28.04,22.99,1.1062,0.0251,22.99,24.70,1.8459,0.0362,24.70
1,8,A7        ,S6        ,Standard6,50,1.0000,51.66,2.1535,0.0199,51.66,47.87,1.1376,0.0565,47.87,49.99,1.8803,0.0705,49.99
1,9,A8        ,S7        ,Standard7,100,1.0000,97.67,2.1717,0.0383,97.67,98.60,1.2016,0.1205,98.60,97.18,1.9444,0.1344,97.18
1,10,A9        ,S8        ,Standard8,200,1.0000,199.43,2.2122,0.0791,199.43,201.48,1.3314,0.2504,201.48,201.44,2.0858,0.2757,201.44
1,11,A10       ,S9        ,Standard9,400,1.0000,400.56,2.2925,0.1596,400.56,416.23,1.6024,0.5213,416.23,436.59,2.4045,0.5942,436.59
1,12,WT        ,WI        ,WashIgnore,,1.0000,8.34,2.1352,0.0026,8.34,4.89,1.0833,0.0023,4.89,-1.28,1.8114,0.0010,-1.28
