NeedleNumber,ResultID,Position ,SampleType,SampleIdentity,Comments,ExternalDilution,NO3 NO2- Results,NO3 NO2- Height,NO3 NO2- CorrectedHeight,NO3 NO2- RawResults,orthoP- Results,orthoP- Height,orthoP- CorrectedHeight,orthoP- RawResults,NH3- Results,NH3- Height,NH3- CorrectedHeight,NH3- RawResults
1,0,IW        ,IW        ,InitialWash,,1.0000,,,,,,,,,-0.25,1.8083,0.0000,-0.25
1,1,A1        ,T         ,Tracer,400,1.0000,,,,,,,,,387.47,2.3650,0.5547,387.47
1,2,WT        ,W         ,Wash,,1.0000,,,,,,,,,-0.25,1.8123,0.0000,-0.25
1,3,A2        ,S1        ,Standard1,0,1.0000,,,,,,,,,2.18,1.8159,0.0035,2.18
1,4,A3        ,S2        ,Standard2,2.5,1.0000,,,,,,,,,2.96,1.8172,0.0046,2.96
1,5,A4        ,S3        ,Standard3,5,1.0000,,,,,,,,,8.00,1.8245,0.0118,8.00
1,6,A5        ,S4        ,Standard4,10,1.0000,,,,,,,,,13.63,1.8327,0.0199,13.63
1,7,A6        ,S5        ,Standard5,25,1.0000,,,,,,,,,22.42,1.8453,0.0324,22.42
1,8,A7        ,S6        ,Standard6,50,1.0000,,,,,,,,,48.98,1.8835,0.0704,48.98
1,9,A8        ,S7        ,Standard7,100,1.0000,,,,,,,,,95.74,1.9505,0.1373,95.74
1,10,A9        ,S8        ,Standard8,200,1.0000,,,,,,,,,194.75,2.0923,0.2790,194.75
1,11,A10       ,S9        ,Standard9,400,1.0000,,,,,,,,,403.85,2.3915,0.5781,403.85
1,12,WT        ,WI        ,WashIgnore,,1.0000,,,,,,,,,3.01,1.8182,0.0047,3.01
1,13,A11       ,D         ,Drift,25,1.0000,,,,,,,,,28.67,1.8550,0.0414,28.67
1,14,WT        ,W         ,Wash,,1.0000,,,,,,,,,-0.25,1.8138,0.0000,-0.25
1,15,A12       ,Q1        ,Quality Control1,0,1.0000,,,,,,,,,4.35,1.8205,0.0066,4.35
