NeedleNumber,ResultID,Position ,SampleType,SampleIdentity,Comments,ExternalDilution,NO3 NO2- Results[ug/L],NO3 NO2- Height,NO3 NO2- CorrectedHeight,NO3 NO2- RawResults,orthoP- Results[ug/L],orthoP- Height,orthoP- CorrectedHeight,orthoP- RawResults,NH3- Results[ug/L],NH3- Height,NH3- CorrectedHeight,NH3- RawResults
1,0,IW        ,IW        ,InitialWash,,1.0000,-29.08,2.1955,0.0000,-29.08,7.39,1.0994,0.0000,7.39,-6.63,1.8226,0.0000,-6.63
1,1,A1        ,T         ,Tracer,400,1.0000,387.38,2.3692,0.1735,387.38,381.58,1.5894,0.4887,381.58,402.13,2.5713,0.7479,402.13
1,2,WT        ,W         ,Wash,,1.0000,-29.08,2.1960,0.0000,-29.08,7.39,1.1022,0.0000,7.39,-6.63,1.8241,0.0000,-6.63
1,3,A2        ,S1        ,Standard1,0,1.0000,-3.15,2.2068,0.0108,-3.15,6.51,1.1010,-0.0011,6.51,-5.39,1.8264,0.0021,-5.39
1,4,A3        ,S2        ,Standard2,2.5,1.0000,11.68,2.2130,0.0170,11.68,7.00,1.1016,-0.0005,7.00,10.57,1.8540,0.0294,10.57
1,5,A4        ,S3        ,Standard3,5,1.0000,2.31,2.2091,0.0131,2.31,7.58,1.1023,0.0003,7.58,7.94,1.8497,0.0249,7.94
1,6,A5        ,S4        ,Standard4,10,1.0000,7.79,2.2114,0.0154,7.79,10.65,1.1062,0.0043,10.65,10.72,1.8547,0.0297,10.72
1,7,A6        ,S5        ,Standard5,25,1.0000,32.51,2.2217,0.0257,32.51,19.87,1.1182,0.0163,19.87,19.85,1.8707,0.0454,19.85
1,8,A7        ,S6        ,Standard6,50,1.0000,53.43,2.2304,0.0344,53.43,43.19,1.1486,0.0468,43.19,48.14,1.9198,0.0943,48.14
1,9,A8        ,S7        ,Standard7,100,1.0000,97.62,2.2488,0.0528,97.62,95.59,1.2169,0.1152,95.59,98.57,2.0085,0.1827,98.57
1,10,A9        ,S8        ,Standard8,200,1.0000,199.41,2.2912,0.0952,199.41,199.15,1.3521,0.2504,199.15,202.55,2.1960,0.3700,202.55
1,11,A10       ,S9        ,Standard9,400,1.0000,400.08,2.3748,0.1788,400.08,402.33,1.6174,0.5158,402.33,399.53,2.5691,0.7428,399.53
1,12,WT        ,WI        ,WashIgnore,,1.0000,-25.79,2.1974,0.0014,-25.79,9.12,1.1039,0.0023,9.12,-6.16,1.8273,0.0008,-6.16
1,13,A11       ,D         ,Drift,25,1.0000,23.11,2.2178,0.0217,23.11,22.69,1.1215,0.0200,22.69,19.98,1.8724,0.0456,19.98
1,14,WT        ,W         ,Wash,,1.0000,-29.08,2.1960,0.0000,-29.08,7.39,1.1015,0.0000,7.39,-6.63,1.8270,0.0000,-6.63
1,15,A12       ,Q1        ,Quality Control1,0,1.0000,3.36,2.2095,0.0135,3.36,6.53,1.1004,-0.0011,6.53,-6.30,1.8280,0.0006,-6.30
1,16,A13       ,U         ,1_1,20230909_MAGM_resinExtraction_openwater,1.0000,-17.88,2.2006,0.0047,-17.88,6.85,1.1008,-0.0007,6.85,410.06,2.5977,0.7634,410.06
1,17,A14       ,U         ,1_2,20230909_MAGM_resinExtraction_openwater,1.0000,-13.35,2.2024,0.0066,-13.35,62.17,1.1709,0.0715,62.17,18.95,1.8725,0.0438,18.95
1,18,A15       ,U         ,1_3,20230909_MAGM_resinExtraction_openwater,1.0000,-41.79,2.1905,-0.0053,-41.79,16.60,1.1131,0.0120,16.60,303.49,2.3945,0.5581,303.49
1,19,A16       ,U         ,2_1,20230909_MAGM_resinExtraction_openwater,1.0000,-14.41,2.2019,0.0061,-14.41,98.51,1.2152,0.1190,98.51,239.34,2.2741,0.4378,239.34
1,20,A17       ,U         ,2_2,20230909_MAGM_resinExtraction_openwater,1.0000,57.06,2.2317,0.0359,57.06,20.31,1.1175,0.0169,20.31,10.59,1.8593,0.0294,10.59
1,21,A18       ,U         ,2_3,20230909_MAGM_resinExtraction_openwater,1.0000,-11.04,2.2032,0.0075,-11.04,152.77,1.2802,0.1899,152.77,179.12,2.1642,0.3272,179.12
1,22,A19       ,U         ,3_1,20230909_MAGM_resinExtraction_openwater,1.0000,-44.09,2.1894,-0.0063,-44.09,33.60,1.1335,0.0342,33.60,245.89,2.2914,0.4500,245.89
1,23,A20       ,U         ,3_2,20230909_MAGM_resinExtraction_openwater,1.0000,-5.28,2.2056,0.0099,-5.28,24.64,1.1224,0.0225,24.64,14.59,1.8678,0.0363,14.59
1,24,A21       ,U         ,3_3,20230909_MAGM_resinExtraction_openwater,1.0000,-26.10,2.1968,0.0012,-26.10,73.66,1.1810,0.0866,73.66,151.55,2.1167,0.2773,151.55
1,25,A22       ,U         ,4_1,20230909_MAGM_resinExtraction_openwater,1.0000,-41.59,2.1903,-0.0052,-41.59,76.84,1.1842,0.0907,76.84,337.91,2.4759,0.6236,337.91
1,26,WT        ,WI        ,WashIgnore,,1.0000,-30.54,2.1948,-0.0006,-30.54,8.31,1.1026,0.0012,8.31,-3.61,1.8369,0.0052,-3.61
1,27,A23       ,D         ,Drift,25,1.0000,23.41,2.2173,0.0219,23.41,21.11,1.1194,0.0179,21.11,20.92,1.8810,0.0472,20.92
1,28,WT        ,W         ,Wash,,1.0000,-29.08,2.1954,0.0000,-29.08,7.39,1.1015,0.0000,7.39,-6.63,1.8323,0.0000,-6.63
1,29,A24       ,Q2        ,Quality Control 2,10,1.0000,9.46,2.2117,0.0161,9.46,11.87,1.1068,0.0059,11.87,11.27,1.8645,0.0306,11.27
1,30,A25       ,U         ,4_2,20230909_MAGM_resinExtraction_openwater,1.0000,-26.71,2.1965,0.0010,-26.71,53.07,1.1556,0.0597,53.07,10.42,1.8633,0.0291,10.42
1,31,A26       ,U         ,4_3,20230909_MAGM_resinExtraction_openwater,1.0000,-55.13,2.1844,-0.0109,-55.13,126.62,1.2433,0.1557,126.62,223.73,2.2627,0.4089,223.73
1,32,A27       ,U         ,5_1,20230909_MAGM_resinExtraction_SAV,1.0000,-33.48,2.1937,-0.0018,-33.48,28.64,1.1269,0.0278,28.64,58.71,1.9520,0.1127,58.71
1,33,A28       ,U         ,5_2,20230909_MAGM_resinExtraction_SAV,1.0000,61.64,2.2347,0.0378,61.64,14.17,1.1097,0.0088,14.17,6.89,1.8579,0.0231,6.89
1,34,A29       ,U         ,5_3,20230909_MAGM_resinExtraction_SAV,1.0000,-44.39,2.1890,-0.0064,-44.39,95.58,1.2076,0.1152,95.58,46.31,1.9302,0.0911,46.31
1,35,A30       ,U         ,7_1,20230909_MAGM_resinExtraction_SAV,1.0000,-30.35,2.1952,-0.0005,-30.35,236.98,1.3785,0.2998,236.98,479.21,2.7902,0.9004,479.21
1,36,A31       ,U         ,7_2,20230909_MAGM_resinExtraction_SAV,1.0000,-31.50,2.1947,-0.0010,-31.50,19.47,1.1163,0.0158,19.47,18.38,1.8798,0.0428,18.38
1,37,A32       ,U         ,7_3,20230909_MAGM_resinExtraction_SAV,1.0000,-44.82,2.1889,-0.0066,-44.82,234.42,1.3774,0.2965,234.42,252.41,2.3278,0.4621,252.41
1,38,A33       ,U         ,8_1,20230909_MAGM_resinExtraction_SAV,1.0000,-40.50,2.1908,-0.0048,-40.50,106.58,1.2226,0.1295,106.58,416.58,2.6655,0.7762,416.58
1,39,A34       ,U         ,8_2,20230909_MAGM_resinExtraction_SAV,1.0000,-3.57,2.2072,0.0106,-3.57,16.32,1.1126,0.0117,16.32,9.57,1.8646,0.0277,9.57
1,40,WT        ,WI        ,WashIgnore,,1.0000,-28.70,2.1961,0.0002,-28.70,7.90,1.1023,0.0007,7.90,-5.14,1.8378,0.0025,-5.14
1,41,A35       ,D         ,Drift,25,1.0000,26.86,2.2193,0.0233,26.86,21.82,1.1206,0.0189,21.82,22.07,1.8845,0.0492,22.07
