NeedleNumber,ResultID,Position ,SampleType,SampleIdentity,Comments,ExternalDilution,NO3 NO2- Results,NO3 NO2- Height,NO3 NO2- CorrectedHeight,NO3 NO2- RawResults,orthoP- Results,orthoP- Height,orthoP- CorrectedHeight,orthoP- RawResults,NH3- Results,NH3- Height,NH3- CorrectedHeight,NH3- RawResults
1,0,IW        ,IW        ,InitialWash,,1.0000,-8.12,2.1507,0.0000,-8.12,,,,,,,,
1,1,A1        ,T         ,Tracer,,1.0000,98.42,2.2036,0.0528,98.42,,,,,,,,
1,2,WT        ,W         ,Wash,,1.0000,-8.12,2.1508,0.0000,-8.12,,,,,,,,
1,3,A2        ,S1        ,Standard1,0,1.0000,-5.37,2.1521,0.0014,-5.37,,,,,,,,
1,4,A3        ,S2        ,Standard2,5,1.0000,9.00,2.1592,0.0085,9.00,,,,,,,,
1,5,A4        ,S3        ,Standard3,10,1.0000,36.07,2.1727,0.0219,36.07,,,,,,,,
1,6,A5        ,S4        ,Standard4,25,1.0000,30.02,2.1696,0.0189,30.02,,,,,,,,
1,7,A6        ,S5        ,Standard5,50,1.0000,45.62,2.1774,0.0267,45.62,,,,,,,,
1,8,A7        ,S6        ,Standard6,100,1.0000,100.74,2.2047,0.0540,100.74,,,,,,,,
1,9,WT        ,WI        ,WashIgnore,,1.0000,-7.82,2.1508,0.0001,-7.82,,,,,,,,
1,10,A8        ,D         ,Drift,100,1.0000,99.32,2.2040,0.0533,99.32,,,,,,,,
1,11,WT        ,W         ,Wash,,1.0000,-8.12,2.1507,0.0000,-8.12,,,,,,,,
1,12,A9        ,Q1        ,Quality Control1,50,1.0000,55.57,2.1824,0.0316,55.57,,,,,,,,
1,13,A10       ,Q3        ,Quality Control3,0,1.0000,-4.68,2.1524,0.0017,-4.68,,,,,,,,
1,14,A11       ,U         ,1_1,20230909_resinExt_rerun,1.0000,102.07,2.2058,0.0547,102.07,,,,,,,,
1,15,A12       ,U         ,1_2,20230909_resinExt_rerun,1.0000,62.20,2.1859,0.0349,62.20,,,,,,,,
1,16,A13       ,U         ,1_3,20230909_resinExt_rerun,1.0000,74.43,2.1921,0.0409,74.43,,,,,,,,
1,17,A14       ,U         ,2_1,20230909_resinExt_rerun,1.0000,89.14,2.1996,0.0482,89.14,,,,,,,,
1,18,A15       ,U         ,2_2,20230909_resinExt_rerun,1.0000,137.65,2.2241,0.0723,137.65,,,,,,,,
1,19,A16       ,U         ,2_3,20230909_resinExt_rerun,1.0000,81.98,2.1962,0.0447,81.98,,,,,,,,
1,20,A17       ,U         ,3_1,20230909_resinExt_rerun,1.0000,36.66,2.1735,0.0222,36.66,,,,,,,,
1,21,A18       ,U         ,3_2,20230909_resinExt_rerun,1.0000,64.37,2.1875,0.0360,64.37,,,,,,,,
1,22,A19       ,U         ,3_3,20230909_resinExt_rerun,1.0000,62.95,2.1869,0.0352,62.95,,,,,,,,
1,23,A20       ,U         ,4_1,20230909_resinExt_rerun,1.0000,37.52,2.1741,0.0226,37.52,,,,,,,,
1,24,WT        ,WI        ,WashIgnore,,1.0000,-8.14,2.1510,0.0000,-8.14,,,,,,,,
1,25,A21       ,D         ,Drift,100,1.0000,102.03,2.2056,0.0546,102.03,,,,,,,,
1,26,WT        ,W         ,Wash,,1.0000,-8.12,2.1510,0.0000,-8.12,,,,,,,,
1,27,A22       ,Q1        ,Quality Control1,50,1.0000,49.37,2.1804,0.0285,49.37,,,,,,,,
1,28,A23       ,Q3        ,Quality Control3,0,1.0000,-4.36,2.1530,0.0019,-4.36,,,,,,,,
1,29,A24       ,U         ,4_2,20230909_resinExt_rerun,1.0000,47.21,2.1794,0.0274,47.21,,,,,,,,
1,30,A25       ,U         ,4_3,20230909_resinExt_rerun,1.0000,25.33,2.1683,0.0166,25.33,,,,,,,,
1,31,A26       ,U         ,5_1,20230909_resinExt_rerun,1.0000,49.35,2.1807,0.0285,49.35,,,,,,,,
1,32,A27       ,U         ,5_2,20230909_resinExt_rerun,1.0000,141.07,2.2279,0.0740,141.07,,,,,,,,
1,33,A28       ,U         ,5_3,20230909_resinExt_rerun,1.0000,37.28,2.1746,0.0225,37.28,,,,,,,,
1,34,A29       ,U         ,7_1,20230909_resinExt_rerun,1.0000,54.39,2.1835,0.0310,54.39,,,,,,,,
1,35,A30       ,U         ,7_2,20230909_resinExt_rerun,1.0000,33.40,2.1728,0.0206,33.40,,,,,,,,
1,36,A31       ,U         ,7_3,20230909_resinExt_rerun,1.0000,30.17,2.1712,0.0190,30.17,,,,,,,,
1,37,A32       ,U         ,8_1,20230909_resinExt_rerun,1.0000,49.15,2.1811,0.0284,49.15,,,,,,,,
1,38,A33       ,U         ,8_2,20230909_resinExt_rerun,1.0000,68.88,2.1914,0.0382,68.88,,,,,,,,
1,39,WT        ,WI        ,WashIgnore,,1.0000,-7.97,2.1516,0.0001,-7.97,,,,,,,,
1,40,A34       ,D         ,Drift,100,1.0000,104.37,2.2074,0.0558,104.37,,,,,,,,
1,41,WT        ,W         ,Wash,,1.0000,-8.12,2.1516,0.0000,-8.12,,,,,,,,
1,42,E         ,E         ,EndRun,,1.0000,-8.12,2.1516,0.0000,-8.12,,,,,,,,
