event_id,coord_y,coord_x,utm_easting,utm_northing,datetime,location,samp_wdepth_cm,phys_wtemp_C,phys_pH,phys_do_mgL,phys_do_pct,phys_spec_cond,phys_turb_fnu
MAGM_20220711,41.606415,-83.15223667,320657,4608315,7/11/2022 14:01,Open_Water_4,72.5,22.8,8.05,8.12,94.4,,3.77
MAGM_20220711,41.60669667,-83.15042333,320809,4608343,7/11/2022 14:33,Open_Water_6,84,23.76,8.64,11.92,140,286,2.75
MAGM_20220711,41.60622333,-83.15063,320791,4608291,7/11/2022 14:55,Open_Water_5,89,22.9,7.73,6.12,82.1,322.3,2.55
MAGM_20220711,41.60564667,-83.153615,320540,4608233,7/11/2022 15:23,Grasses_2,64,23.4,7.46,3.26,38.1,343.5,2.05
MAGM_20220711,41.60590667,-83.15346167,320554,4608261,7/11/2022 15:35,Grasses_3,60,25.9,7.65,9.71,104.6,3.1,2.9
MAGM_20220711,41.60539333,-83.15365167,320536,4608205,7/11/2022 15:51,Grasses_1,58,25.1,,8.35,102.2,338.6,5.55
MAGM_20220711,41.6073,-83.15146167,320724,4608412,7/11/2022 16:55,Hardwoods_7,50,24.5,7.43,6.37,74.5,326.4,1.2
MAGM_20220711,41.60736333,-83.15079,320780,4608417,7/11/2022 17:06,Hardwoods_8,84,24.6,7.34,7.67,92.3,153.4,2.96
MAGM_20220711,41.60783167,-83.14869333,320956,4608465,7/11/2022 17:21,Hardwoods_9,73,25.2,,8.16,98.9,319.6,5.69
MAGM_20220711,41.60780833,-83.14759167,321048,4608460,7/11/2022 17:54,Typha_10,87,26,7.25,8.39,96.4,,6.32
MAGM_20220711,41.60860833,-83.14573,321205,4608545,7/11/2022 18:18,Typha_11,107,24,6.97,2.15,26.1,309.5,6.42
MAGM_20220711,41.60995667,-83.144685,321296,4608693,7/11/2022 18:46,Typha_12,89,25.7,7.09,5.44,67.3,360.7,4.58
MAGM_20220719,41.6054,-83.15367667,320534,4608205,7/19/2022 15:49,Grasses_1,43,25.2,6.59,1.23,16.8,295.8,3.02
MAGM_20220719,41.60562,-83.15365,320537,4608230,7/19/2022 16:01,Grasses_2,54,26.6,6.63,4.31,62,308.2,38.61
MAGM_20220719,41.60597167,-83.15348167,320552,4608268,7/19/2022 16:10,Grasses_3,71,24.6,6.66,1.85,24.8,306.1,1.82
MAGM_20220719,41.60794833,-83.14990167,320856,4608481,7/19/2022 16:34,Hardwoods_9,54.5,26.2,6.88,4.15,52.4,292.4,3.37
MAGM_20220719,41.60807667,-83.148755,320952,4608492,7/19/2022 16:45,Hardwoods_9,64.5,24.9,6.96,4.02,57.2,292.7,1.75
